valor_de_mercado,valor_de_firma,patrimônio_líquido,n_total_de_papeis,ativos,ativo_circulante,dívida_bruta,dívida_líquida,disponibilidade,segmento_de_listagem,free_float,tag_along,setor,segmento,papel,liquidez_média_diária
64.652.996.000,87.522.926.000,22.670.094.000,1.152.254.000,82.448.147.000,18.520.635.000,28.760.433.000,22.869.930.000,5.890.503.000,Novo Mercado,16.29,100.00,Utilidade Pública,Energia Elétrica,CPFE3,85.089.000
24.388.023.000,50.488.410.000,10.239.102.000,6.241.478.000,62.163.679.000,16.586.925.000,35.826.069.000,26.100.387.000,9.725.682.000,Nível 2,63.92,100.00,Materiais Básicos,Papel e Celulose,KLBN4,8.964.000
14.351.415.000,15.727.111.000,12.030.707.000,1.511.205.000,26.002.141.000,7.487.443.000,7.255.705.000,1.375.696.000,5.880.009.000,Nível 2,79.97,100.00,Utilidade Pública,Água e Saneamento,SAPR11,63.043.000
7.423.274.000,7.423.274.000,11.099.341.000,408.974.000,158.835.626.000,150.437.964.000,0,0,2.106.316.000,Nível 1,50.61,100.00,Financeiro,Bancos,BRSR6,24.348.000
3.665.884.000,5.922.993.000,2.978.675.000,244.555.000,9.069.848.000,4.783.598.000,2.964.454.000,2.257.109.000,707.345.000,Novo Mercado,60.31,100.00,Consumo Cíclico,Produtos Diversos,SBFG3,19.922.000
31.449.945.000,18.335.170.000,14.914.977.000,646.586.000,53.349.034.000,31.940.624.000,,-13.114.775.000,13.114.775.000,Novo Mercado,28.23,100.00,Financeiro,Seguradoras,PSSA3,88.414.000
7.956.997.000,9.883.140.000,4.693.380.000,499.497.000,12.381.553.000,7.973.507.000,4.095.819.000,1.926.143.000,2.169.676.000,Nível 1,22.52,100.00,Consumo não Cíclico,Agricultura,TTEN3,17.879.000
510.056.000,3.310.747.000,2.014.758.000,322.820.000,9.063.534.000,4.695.573.000,3.606.651.000,2.800.691.000,805.960.000,Nível 1,56.46,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,VVEO3,2.185.000
2.978.993.000,3.053.257.000,989.580.000,203.901.000,3.827.834.000,3.308.194.000,1.050.040.000,74.264.000,975.776.000,Novo Mercado,26.62,100.00,Financeiro,Intermediação Imobiliária,PLPL3,21.826.000
629.592.000,1.168.678.000,1.596.434.000,141.800.000,4.446.008.000,2.939.235.000,1.344.625.000,539.086.000,805.539.000,Novo Mercado,51.71,100.00,Tecnologia da Informação,Computadores e Equipamentos,POSI3,5.632.000
5.322.290.000,13.187.505.000,6.971.483.000,332.435.000,22.657.138.000,7.742.415.000,10.995.120.000,7.865.215.000,3.129.905.000,Novo Mercado,41.10,100.00,Consumo não Cíclico,Açucar e Alcool,SMTO3,43.980.000
4.066.070.000,4.231.025.000,5.132.994.000,281.000.000,7.008.353.000,2.960.185.000,1.398.136.000,164.955.000,1.233.181.000,Novo Mercado,44.05,100.00,Consumo Cíclico,Incorporações,EZTC3,28.621.000
5.672.631.000,11.529.884.000,7.821.124.000,1.255.007.000,21.098.462.000,6.553.909.000,8.403.145.000,5.857.253.000,2.545.892.000,Tradicional,19.32,0.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,DASA3,11.638.000
6.195.116.000,5.565.761.000,1.290.301.000,545.825.000,2.248.918.000,756.071.000,,-629.355.000,629.355.000,Novo Mercado,45.96,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,ODPV3,21.282.000
2.965.487.000,2.965.487.000,4.592.164.000,599.088.000,48.255.437.000,40.191.210.000,0,0,438.583.000,Nível 1,27.45,100.00,Financeiro,Bancos,BMGB4,5.553.000
6.913.063.000,8.560.179.000,2.409.762.000,280.335.000,6.892.506.000,3.374.197.000,2.642.384.000,1.647.116.000,995.268.000,Nível 1,33.14,80.00,Bens Industriais,Material Rodoviário,FRAS3,7.432.000
4.685.104.000,5.524.402.000,5.544.320.000,500.011.000,135.582.330.000,8.506.180.000,1.906.966.000,839.298.000,1.067.668.000,Nível 1,16.41,0.00,Consumo Cíclico,Tecidos. Vestuário e Calçados,GUAR3,23.046.000
16.447.148.000,16.447.148.000,7.601.995.000,1.269.070.000,68.744.875.000,61.536.241.000,0,0,1.562.000,Nível 1,22.21,100.00,Financeiro,Bancos,BPAN4,16.160.000
14.647.576.000,23.902.477.000,7.645.339.000,1.033.496.000,21.812.048.000,3.387.108.000,10.328.105.000,9.254.901.000,1.073.204.000,Nível 2,63.44,100.00,Utilidade Pública,Energia Elétrica,TAEE11,83.565.000
8.602.097.000,8.816.287.000,20.751.327.000,1.253.079.000,35.309.875.000,16.354.384.000,6.250.187.000,214.190.000,6.035.997.000,Nível 1,53.95,80.00,Materiais Básicos,Siderurgia,USIM3,2.699.000
6.314.593.000,6.314.593.000,6.700.376.000,244.656.000,61.006.535.000,55.350.917.000,0,0,798.360.000,Nível 2,30.59,100.00,Financeiro,Bancos,ABCB4,17.414.000
8.274.509.000,7.890.448.000,4.301.192.000,683.062.000,6.236.192.000,3.129.477.000,657.013.000,-384.061.000,1.041.074.000,Nível 1,27.74,0.00,Consumo Cíclico,Calçados,ALPA4,34.161.000
38.346.971.000,62.682.155.000,12.304.166.000,1.142.298.000,56.544.112.000,8.217.512.000,28.960.846.000,24.335.184.000,4.625.662.000,Novo Mercado,31.28,100.00,Utilidade Pública,Energia Elétrica,EGIE3,63.893.000
14.351.415.000,15.727.111.000,12.030.707.000,1.511.205.000,26.002.141.000,7.487.443.000,7.255.705.000,1.375.696.000,5.880.009.000,Nível 2,79.97,100.00,Utilidade Pública,Água e Saneamento,SAPR4,7.500.000
355.478.000,620.518.000,901.644.000,286.676.000,2.285.744.000,380.213.000,468.677.000,265.040.000,203.637.000,Novo Mercado,98.66,100.00,Consumo Cíclico,Restaurante e Similares,MEAL3,247.000
1.652.485.000,5.658.693.000,4.198.648.000,153.719.000,14.452.673.000,6.592.673.000,5.631.160.000,4.006.208.000,1.624.952.000,Novo Mercado,84.74,100.00,Consumo Cíclico,Automóveis e Motocicletas,MYPK3,14.422.000
4.260.988.000,5.902.976.000,2.851.844.000,662.673.000,9.267.606.000,5.134.852.000,1.748.250.000,1.641.988.000,106.262.000,Novo Mercado,31.17,100.00,Saúde,Medicamentos e Outros Produtos,PGMN3,24.926.000
763.222.000,919.874.000,731.111.000,152.644.000,2.362.140.000,359.810.000,463.173.000,156.652.000,306.521.000,Novo Mercado,22.82,100.00,Financeiro,Exploração de Imóveis,SYNE3,3.156.000
2.129.831.000,3.208.709.000,1.433.844.000,230.501.000,3.780.942.000,1.262.957.000,1.760.331.000,1.078.878.000,681.453.000,Tradicional,44.27,100.00,Materiais Básicos,Papel e Celulose,RANI3,5.060.000
5.136.629.000,5.005.893.000,1.553.734.000,357.374.000,2.918.196.000,1.911.024.000,887.804.000,-130.736.000,1.018.540.000,Tradicional,56.37,0.00,Bens Industriais,Motores. Compressores e Outros,SHUL4,1.838.000
223.469.000,13.889.000,303.794.000,205.017.000,437.004.000,261.912.000,,-209.580.000,209.580.000,Nível 1,72.16,100.00,Consumo Cíclico,Tecidos. Vestuário e Calçados,ENJU3,429.000
940.979.000,4.286.372.000,2.008.125.000,303.541.000,7.446.329.000,2.841.194.000,4.831.302.000,3.345.393.000,1.485.909.000,Nível 1,31.69,100.00,Consumo não Cíclico,Açucar e Alcool,JALL3,2.796.000
3.419.001.000,4.804.674.000,1.678.716.000,234.178.000,4.479.354.000,1.705.796.000,2.299.111.000,1.385.673.000,913.438.000,Novo Mercado,72.98,0.10,Bens Industriais,Serviços Diversos,MILS3,10.729.000
766.880.000,1.344.463.000,1.294.475.000,139.297.000,2.489.835.000,1.405.120.000,774.417.000,577.583.000,196.834.000,Nível 2,59.85,100.00,Bens Industriais,Armas e Munições,TASA4,2.451.000
433.676.000,940.054.000,989.206.000,105.774.000,2.253.318.000,1.722.403.000,610.291.000,506.378.000,103.913.000,Novo Mercado,54.06,100.00,Consumo Cíclico,Incorporações,MTRE3,2.113.000
1.234.553.000,1.633.565.000,1.390.680.000,141.902.000,4.098.781.000,2.746.695.000,1.328.893.000,399.012.000,929.881.000,Novo Mercado,43.03,100.00,Consumo não Cíclico,Agricultura,SOJA3,5.507.000
12.060.119.000,21.313.471.000,8.999.649.000,988.880.000,31.477.777.000,6.087.093.000,12.477.539.000,9.253.352.000,3.224.187.000,Nível 2,34.43,100.00,Utilidade Pública,Energia Elétrica,ALUP11,25.591.000
5.703.369.000,6.142.495.000,2.503.075.000,316.502.000,4.218.625.000,2.758.060.000,1.006.358.000,439.126.000,567.232.000,Novo Mercado,35.08,100.00,Consumo Cíclico,Calçados,VULC3,25.157.000
2.366.000.000,6.522.827.000,3.448.185.000,350.000.000,12.320.156.000,7.091.798.000,6.688.648.000,4.156.827.000,2.531.821.000,Novo Mercado,27.08,100.00,Consumo não Cíclico,Alimentos Diversos,CAML3,6.724.000
160.025.157.000,202.605.387.000,109.289.887.000,2.588.720.000,266.502.447.000,52.374.181.000,70.835.953.000,42.580.230.000,28.255.723.000,Nível 1,97.21,0.00,Utilidade Pública,Energia Elétrica,ELET6,0
2.199.152.000,2.445.634.000,1.811.089.000,84.909.000,5.489.810.000,2.711.155.000,808.879.000,246.482.000,562.397.000,Novo Mercado,62.91,0.00,Consumo Cíclico,Incorporações,MDNE3,40.717.000
6.542.000,410.737.000,-3.405.289.000,3.287.000,504.069.000,323.269.000,432.118.000,404.195.000,27.923.000,Novo Mercado,99.95,100.00,Consumo Cíclico,Incorporações,PDGR3,139.000
2.237.803.000,1.781.790.000,1.135.953.000,85.608.000,1.728.851.000,1.196.766.000,19.170.000,-456.013.000,475.183.000,Novo Mercado,93.58,0.10,Tecnologia da Informação,Programas e Serviços,BMOB3,8.715.000
1.864.537.000,2.575.842.000,1.462.815.000,333.548.000,4.400.937.000,1.562.929.000,1.390.848.000,711.305.000,679.543.000,Nível 1,28.41,100.00,Bens Industriais,Máquinas e Equipamentos de Construção e Agrícolas,MATD3,590.000
1.555.897.000,1.644.838.000,697.848.000,159.907.000,2.413.891.000,561.323.000,383.199.000,88.941.000,294.258.000,Novo Mercado,47.07,100.00,Financeiro,Corretoras de Seguros,WIZC3,3.950.000
3.086.749.000,2.375.374.000,3.387.880.000,353.175.000,4.231.635.000,1.689.216.000,169.341.000,-711.375.000,880.716.000,Nível 1,45.83,0.00,Materiais Básicos,Siderurgia,FESA4,5.203.000
1.682.120.000,3.973.043.000,3.081.649.000,132.450.000,9.867.685.000,6.087.552.000,3.939.547.000,2.290.923.000,1.648.624.000,Novo Mercado,99.76,100.00,Bens Industriais,Material Rodoviário,TUPY3,15.997.000
955.177.000,1.158.898.000,490.187.000,56.720.000,1.555.688.000,932.157.000,693.815.000,203.721.000,490.094.000,Novo Mercado,94.42,100.00,Bens Industriais,Serviços Diversos,PRNR3,6.328.000
2.577.315.000,3.001.843.000,1.656.113.000,364.542.000,4.778.536.000,1.125.208.000,1.264.104.000,424.528.000,839.576.000,Nível 1,12.39,100.00,Consumo Cíclico,Serviços Educacionais,CSED3,5.343.000
465.430.886.000,465.430.886.000,214.918.000.000,11.026.869.000,2.969.351.000.000,2.785.733.000.000,0,0,34.369.000.000,Nível 1,52.64,80.00,Financeiro,Bancos,ITUB3,37.592.000
354.970.000,1.833.997.000,1.957.033.000,103.188.000,5.000.718.000,503.276.000,1.606.141.000,1.479.027.000,127.114.000,Nível 1,47.14,100.00,Financeiro,Intermediação Imobiliária,HBRE3,1.847.000
3.379.059.000,3.461.647.000,1.542.626.000,195.434.000,4.015.727.000,3.122.026.000,894.499.000,82.588.000,811.911.000,Novo Mercado,37.00,100.00,Consumo Cíclico,Incorporações,LAVV3,10.463.000
1.500.000.000,1.798.108.000,1.980.739.000,200.000.000,5.008.874.000,3.576.334.000,1.110.764.000,298.108.000,812.656.000,Novo Mercado,97.15,100.00,Consumo Cíclico,Incorporações,EVEN3,4.745.000
2.027.360.000,2.260.834.000,1.270.411.000,399.086.000,2.364.537.000,2.364.537.000,559.319.000,233.474.000,325.845.000,Nível 1,24.96,100.00,Telecomunicações,Telecomunicações,FIQE3,2.404.000
2.227.175.000,2.461.568.000,2.350.165.000,233.212.000,3.621.064.000,1.969.159.000,545.170.000,234.393.000,310.777.000,Nível 1,16.55,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,BLAU3,6.607.000
500.503.000,1.533.282.000,194.535.000,140.986.000,3.567.099.000,1.266.473.000,1.285.250.000,1.032.779.000,252.471.000,Novo Mercado,100.00,100.00,Bens Industriais,Produtos para Construção,PTBL3,630.000
46.211.000,1.393.626.000,1.989.335.000,11.162.000,4.984.012.000,2.896.419.000,1.561.017.000,1.347.415.000,213.602.000,Novo Mercado,99.82,100.00,Consumo Cíclico,Incorporações,GFSA3,1.624.000
1.392.767.000,1.900.094.000,1.328.928.000,128.721.000,3.358.031.000,948.585.000,787.939.000,507.327.000,280.612.000,Novo Mercado,40.60,100.00,Consumo Cíclico,Serviços Educacionais,SEER3,15.448.000
6.903.831.000,7.974.848.000,1.424.701.000,96.126.000,4.224.165.000,1.453.296.000,2.106.730.000,1.071.017.000,1.035.713.000,Novo Mercado,55.82,100.00,Utilidade Pública,Água e Saneamento,ORVR3,44.630.000
1.839.627.000,3.005.163.000,964.633.000,199.959.000,3.156.836.000,1.190.629.000,1.818.073.000,1.165.536.000,652.537.000,Nível 1,37.82,100.00,Utilidade Pública,Água e Saneamento,OPCT3,4.456.000
1.424.270.000,2.183.679.000,1.449.627.000,406.934.000,4.328.790.000,984.773.000,1.108.801.000,759.409.000,349.392.000,Novo Mercado,38.45,100.00,Consumo Cíclico,Restaurante e Similares,ZAMP3,0
19.806.000,904.312.000,-592.212.000,11.382.000,823.106.000,125.772.000,889.731.000,884.506.000,5.225.000,Novo Mercado,99.89,0.10,Tecnologia da Informação,Programas e Serviços,SEQL3,523.000
,-16.786.570.000,809.605.000,314.987.000,16.954.314.000,16.811.591.000,0,0,16.786.570.000,Nível 2,44.99,100.00,Financeiro,Bancos,BRBI11,5.242.000
3.184.746.000,3.184.746.000,1.248.701.000,237.659.000,29.292.312.000,24.887.688.000,0,0,239.188.000,Nível 2,24.20,100.00,Financeiro,Bancos,PINE4,4.378.000
4.676.095.000,5.588.715.000,876.909.000,135.539.000,3.939.110.000,2.517.164.000,1.500.992.000,912.620.000,588.372.000,Novo Mercado,39.00,100.00,Consumo Cíclico,Automóveis e Motocicletas,LEVE3,10.443.000
1.085.838.000,1.614.415.000,1.385.550.000,123.812.000,5.636.171.000,3.957.027.000,792.119.000,528.577.000,263.542.000,Novo Mercado,73.46,100.00,Saúde,Medicamentos e Outros Produtos,PFRM3,1.741.000
1.497.985.000,3.134.798.000,1.576.325.000,438.007.000,4.135.697.000,686.860.000,1.968.760.000,1.636.813.000,331.947.000,Nível 1,20.04,100.00,Telecomunicações,Telecomunicações,BRST3,681.000
1.953.459.000,8.483.764.000,1.836.166.000,286.431.000,12.459.067.000,4.655.462.000,8.222.789.000,6.530.305.000,1.692.484.000,Novo Mercado,22.06,100.00,Bens Industriais,Transporte Rodoviário,JSLG3,9.645.000
1.933.854.000,2.946.503.000,1.264.170.000,150.377.000,3.583.121.000,2.145.644.000,1.404.790.000,1.012.649.000,392.141.000,Tradicional,47.41,100.00,Saúde,Medicamentos e Outros Produtos,PNVL3,8.226.000
798.262.000,948.696.000,1.097.545.000,206.269.000,2.692.113.000,1.971.586.000,515.240.000,150.434.000,364.806.000,Novo Mercado,92.04,100.00,Consumo Cíclico,Incorporações,MELK3,1.897.000
314.438.000,923.583.000,864.732.000,361.423.000,2.252.060.000,1.069.357.000,849.349.000,609.145.000,240.204.000,Nível 1,52.20,100.00,Financeiro,Outros,ESPA3,1.767.000
7.860.979.000,9.126.151.000,4.444.823.000,1.249.898.000,9.779.703.000,6.022.307.000,3.259.077.000,1.265.172.000,1.993.905.000,Nível 2,76.12,100.00,Bens Industriais,Material Rodoviário,POMO3,4.938.000
1.800.400.000,1.858.595.000,1.721.545.000,81.836.000,2.874.061.000,1.451.786.000,605.031.000,58.195.000,546.836.000,Novo Mercado,95.08,0.10,Bens Industriais,Serviços Diversos,VLID3,5.013.000
24.388.023.000,50.488.410.000,10.239.102.000,6.241.478.000,62.163.679.000,16.586.925.000,35.826.069.000,26.100.387.000,9.725.682.000,Nível 2,63.92,100.00,Materiais Básicos,Papel e Celulose,KLBN3,2.094.000
1.598.849.000,2.064.354.000,1.586.440.000,242.617.000,3.497.705.000,3.011.533.000,1.057.556.000,465.505.000,592.051.000,Novo Mercado,38.37,0.10,Consumo Cíclico,Incorporações,TRIS3,1.960.000
2.146.758.000,3.811.048.000,2.834.844.000,134.172.000,6.116.293.000,1.142.399.000,2.449.670.000,1.664.290.000,785.380.000,Novo Mercado,0.00,100.00,Consumo Cíclico,Serviços Educacionais,VTRU3,8.230.000
370.608.000,1.019.574.000,1.250.095.000,373.114.000,2.978.270.000,240.890.000,710.556.000,648.966.000,61.590.000,Nível 2,23.69,100.00,Utilidade Pública,Energia Elétrica,RNEW4,79.000
14.351.415.000,15.727.111.000,12.030.707.000,1.511.205.000,26.002.141.000,7.487.443.000,7.255.705.000,1.375.696.000,5.880.009.000,Nível 2,79.97,100.00,Utilidade Pública,Água e Saneamento,SAPR3,1.416.000
2.391.526.000,4.324.198.000,3.832.178.000,87.859.000,7.160.498.000,1.267.511.000,2.525.455.000,1.932.672.000,592.783.000,Novo Mercado,57.32,100.00,Financeiro,Exploração de Imóveis,LOGG3,8.144.000
120.541.000,5.363.425.000,-6.658.139.000,120.541.000,1.559.819.000,342.941.000,5.280.123.000,5.242.884.000,37.239.000,Novo Mercado,100.00,100.00,Materiais Básicos,Artefatos de Cobre,PMAM3,2.345.000
520.933.000,3.179.725.000,2.074.395.000,37.886.000,8.475.776.000,4.704.345.000,3.080.285.000,2.658.792.000,421.493.000,Novo Mercado,0.00,100.00,Consumo Cíclico,Automóveis e Motocicletas,AMOB3,522.000
196.921.000,1.918.321.000,-208.276.000,62.120.000,1.954.226.000,737.170.000,1.750.788.000,1.721.400.000,29.388.000,Nível 1,57.08,100.00,Bens Industriais,Máquinas e Equipamentos Industriais,AERI3,142.000
2.220.016.000,3.311.174.000,2.103.468.000,102.683.000,3.825.853.000,1.188.400.000,1.327.380.000,1.091.158.000,236.222.000,Novo Mercado,62.15,100.00,Consumo não Cíclico,Agricultura,AGRO3,3.130.000
692.375.000,836.208.000,617.380.000,147.314.000,929.749.000,567.373.000,219.862.000,143.833.000,76.029.000,Nível 1,31.87,100.00,Consumo não Cíclico,Agricultura,VITT3,632.000
6.974.096.000,8.576.306.000,2.470.314.000,113.173.000,7.633.811.000,3.062.409.000,3.318.008.000,1.602.210.000,1.715.798.000,Tradicional,55.28,0.00,Materiais Básicos,Químicos Diversos,UNIP6,14.656.000
2.420.844.000,2.569.602.000,530.276.000,153.218.000,901.331.000,612.629.000,169.416.000,148.758.000,20.658.000,Nível 2,5.66,0.00,Consumo Cíclico,Vestuário,TFCO4,9.975.000
801.268.000,1.407.567.000,1.229.154.000,93.170.000,2.576.312.000,1.537.432.000,810.719.000,606.299.000,204.420.000,Novo Mercado,53.55,100.00,Bens Industriais,Máquinas e Equipamentos Industriais,ROMI3,1.746.000
8.644.500.000,7.977.108.000,8.306.225.000,339.000.000,13.074.971.000,6.333.425.000,1.867.522.000,-667.392.000,2.534.914.000,Novo Mercado,19.58,100.00,Consumo não Cíclico,Alimentos Diversos,MDIA3,6.878.000
518.651.000,1.321.787.000,295.428.000,513.516.000,2.130.537.000,630.263.000,855.315.000,803.136.000,52.179.000,Novo Mercado,46.13,0.10,Consumo Cíclico,Tecidos. Vestuário e Calçados,AMAR3,176.000
912.275.000,829.629.000,1.040.572.000,122.974.000,1.609.481.000,1.042.072.000,230.880.000,-82.646.000,313.526.000,Tradicional,99.67,100.00,Materiais Básicos,Petroquímicos,DEXP3,1.584.000
2.016.644.000,3.144.121.000,1.402.261.000,115.965.000,3.734.989.000,652.423.000,1.480.179.000,1.127.477.000,352.702.000,Nível 1,31.01,100.00,Telecomunicações,Telecomunicações,DESK3,21.078.000
397.385.000,336.002.000,310.829.000,42.275.000,396.486.000,204.663.000,2.290.000,-61.383.000,63.673.000,Tradicional,49.84,0.00,Consumo Cíclico,Calçados,CAMB3,258.000
14.647.576.000,23.902.477.000,7.645.339.000,1.033.496.000,21.812.048.000,3.387.108.000,10.328.105.000,9.254.901.000,1.073.204.000,Nível 2,63.44,100.00,Utilidade Pública,Energia Elétrica,TAEE4,1.795.000
36.850.488.000,49.944.834.000,28.728.491.000,2.861.781.000,64.750.143.000,13.246.560.000,15.411.389.000,13.094.346.000,2.317.043.000,Nível 1,81.34,80.00,Utilidade Pública,Energia Elétrica,CMIG3,1.255.000
150.014.482.000,154.318.482.000,92.412.000.000,11.213.686.000,113.421.000.000,9.710.000.000,9.689.000.000,4.304.000.000,5.385.000.000,Nível 1,65.74,80.00,Financeiro,Holdings Diversificadas,ITSA3,4.703.000
147.516.000,147.427.000,-27.182.000,31.822.000,38.565.000,13.594.000,,-89.000,89.000,Tradicional,61.28,0.00,Bens Industriais,Material Rodoviário,RCSL3,2.537.000
1.030.736.000,2.203.956.000,357.066.000,219.305.000,2.589.107.000,553.231.000,1.510.795.000,1.173.220.000,337.575.000,Novo Mercado,40.85,100.00,Bens Industriais,Serviços Diversos,ALPK3,516.000
94.232.000,593.223.000,319.278.000,73.619.000,1.147.146.000,339.408.000,572.618.000,498.991.000,73.627.000,Novo Mercado,61.24,100.00,Consumo Cíclico,Incorporações,TCSA3,88.000
7.863.847.000,10.010.122.000,4.640.861.000,1.206.361.000,9.427.002.000,2.345.550.000,3.984.653.000,2.146.275.000,1.838.378.000,Tradicional,55.74,0.00,Financeiro,Exploração de Imóveis,IGTI3,136.000
259.696.000,172.051.000,260.103.000,147.554.000,413.852.000,133.433.000,,-87.645.000,87.645.000,Tradicional,70.66,100.00,Financeiro,Intermediação Imobiliária,LPSB3,533.000
119.843.000,-173.328.000,293.687.000,140.991.000,313.039.000,305.396.000,725.000,-293.172.000,293.897.000,Novo Mercado,30.40,100.00,Bens Industriais,Serviços Diversos,REAG3,0
256.372.000,400.677.000,845.709.000,61.776.000,1.415.197.000,625.499.000,180.024.000,144.305.000,35.719.000,Nível 1,98.69,100.00,Bens Industriais,Produtos para Construção,ETER3,405.000
133.489.128.000,133.489.128.000,123.852.072.000,7.498.531.000,1.263.370.224.000,1.126.051.979.000,0,0,21.583.905.000,Nível 1,9.88,100.00,Financeiro,Bancos,SANB4,1.142.000
6.679.344.000,6.537.776.000,2.143.130.000,1.502.786.000,10.020.083.000,6.769.895.000,2.020.170.000,-141.568.000,2.161.738.000,Tradicional,100.00,0.00,Consumo Cíclico,Eletrodomésticos,WHRL4,32.000
133.489.128.000,133.489.128.000,123.852.072.000,7.498.531.000,1.263.370.224.000,1.126.051.979.000,0,0,21.583.905.000,Nível 1,9.88,100.00,Financeiro,Bancos,SANB3,997.000
144.183.000,90.940.000,-7.433.374.000,67.691.000,10.287.823.000,9.817.361.000,,-53.243.000,53.243.000,Tradicional,33.27,0.00,Petróleo. Gás e Biocombustíveis,Exploração. Refino e Distribuição,RPMG3,3.000
14.647.576.000,23.902.477.000,7.645.339.000,1.033.496.000,21.812.048.000,3.387.108.000,10.328.105.000,9.254.901.000,1.073.204.000,Nível 2,63.44,100.00,Utilidade Pública,Energia Elétrica,TAEE3,840.000
370.608.000,1.019.574.000,1.250.095.000,373.114.000,2.978.270.000,240.890.000,710.556.000,648.966.000,61.590.000,Nível 2,23.69,100.00,Utilidade Pública,Energia Elétrica,RNEW3,62.000
501.125.000,6.857.535.000,1.093.325.000,1.670.418.000,16.918.392.000,7.328.510.000,11.041.297.000,6.356.410.000,4.684.887.000,Novo Mercado,33.34,100.00,Utilidade Pública,Água e Saneamento,AMBP3,4.833.000
9.071.034.000,8.539.009.000,9.123.786.000,393.096.000,9.217.327.000,532.286.000,,-532.025.000,532.025.000,Nível 1,71.57,80.00,Financeiro,Holdings Diversificadas,BRAP3,1.465.000
7.462.758.000,44.774.758.000,-3.533.000.000,797.207.000,87.383.000.000,26.273.000.000,44.720.000.000,37.312.000.000,7.408.000.000,Nível 1,34.97,100.00,Materiais Básicos,Petroquímicos,BRKM3,201.000
354.219.000,372.833.000,909.871.000,50.602.000,1.933.426.000,627.571.000,32.260.000,18.614.000,13.646.000,Novo Mercado,32.87,0.10,Saúde,Medicamentos e Outros Produtos,DMVF3,436.000
172.540.000,165.199.000,36.928.000,67.667.000,51.611.000,18.457.000,,-7.341.000,7.341.000,Tradicional,8.04,0.00,Financeiro,Outros,FICT3,127.000
1.876.881.000,2.380.004.000,2.803.899.000,92.619.000,4.753.032.000,1.761.982.000,843.823.000,503.123.000,340.700.000,Nível 1,56.01,0.00,Materiais Básicos,Madeira,EUCA4,761.000
13.542.416.000,22.290.772.000,19.368.000.000,1.324.907.000,87.319.904.000,33.463.871.000,18.643.907.000,8.748.356.000,9.895.551.000,Nível 1,70.19,100.00,Materiais Básicos,Siderurgia,GOAU3,539.000
456.796.000,477.489.000,437.339.000,60.906.000,711.330.000,479.712.000,90.828.000,20.693.000,70.135.000,Novo Mercado,38.44,0.10,Consumo Cíclico,Acessórios,TECN3,299.000
44.028.861.000,49.483.956.000,54.539.163.000,2.000.879.000,87.255.733.000,33.400.217.000,15.328.677.000,5.455.095.000,9.873.582.000,Nível 1,58.30,100.00,Materiais Básicos,Siderurgia,GGBR3,645.000
118.409.000,386.474.000,123.306.000,79.469.000,629.813.000,360.527.000,296.293.000,268.065.000,28.228.000,Tradicional,44.31,0.00,Financeiro,Serviços Financeiros Diversos,PDTC3,36.000
315.547.000,398.036.000,356.365.000,22.500.000,631.615.000,248.216.000,103.306.000,82.489.000,20.817.000,Tradicional,59.77,0.00,Bens Industriais,Máquinas e Equipamentos Industriais,EALT4,250.000
249.364.000,139.397.000,443.784.000,9.140.000,578.959.000,206.222.000,17.071.000,-109.967.000,127.038.000,Novo Mercado,43.09,100.00,Tecnologia da Informação,Programas e Serviços,NGRD3,384.000
752.400.000,701.055.000,509.731.000,41.800.000,746.484.000,238.696.000,49.383.000,-51.345.000,100.728.000,Novo Mercado,44.32,100.00,Bens Industriais,Serviços Diversos,CSUD3,2.247.000
287.546.000,529.146.000,-1.607.723.000,260.509.000,829.639.000,381.109.000,291.890.000,241.600.000,50.290.000,Tradicional,100.00,0.00,Consumo não Cíclico,Produtos de Limpeza,BOBR4,16.000
89.877.000,160.647.000,183.135.000,66.086.000,383.724.000,109.065.000,110.975.000,70.770.000,40.205.000,Novo Mercado,43.14,100.00,Consumo Cíclico,Móveis,UCAS3,58.000
60.227.000,231.657.000,113.324.000,46.687.000,488.897.000,133.022.000,172.815.000,171.430.000,1.385.000,Novo Mercado,82.71,100.00,Petróleo. Gás e Biocombustíveis,Equipamentos e Serviços,LUPA3,388.000
766.880.000,1.344.463.000,1.294.475.000,139.297.000,2.489.835.000,1.405.120.000,774.417.000,577.583.000,196.834.000,Nível 2,59.85,100.00,Bens Industriais,Armas e Munições,TASA3,175.000
684.094.000,1.047.294.000,1.066.928.000,152.359.000,3.027.413.000,811.048.000,486.951.000,363.200.000,123.751.000,Novo Mercado,6.19,100.00,Saúde,Serviços Médicos. Hospitalares. Análises e Diagnósticos,AALR3,265.000
4.026.030.000,9.731.023.000,5.211.994.000,119.202.000,15.771.597.000,3.302.854.000,5.813.285.000,5.704.993.000,108.292.000,Tradicional,36.51,0.00,Utilidade Pública,Energia Elétrica,COCE5,322.000
27.741.083.000,59.293.534.000,18.484.512.000,2.518.367.000,82.858.461.000,19.805.340.000,41.047.221.000,31.552.451.000,9.494.770.000,Nível 2,71.31,100.00,Utilidade Pública,Energia Elétrica,ENGI3,81.000
