Cotação,DY,P/VP,Liquidez,Liquidez_unidade,VARIAÇÃO,DY_Pago_ult_12m,Razão Social,CNPJ,PÚBLICO-ALVO,MANDATO,Setor,Tipo,PRAZO DE DURAÇÃO,TIPO DE GESTÃO,TAXA DE ADMINISTRAÇÃO,VACÂNCIA,NUMERO DE COTISTAS,COTAS EMITIDAS,VAL. PATRIMONIAL P/ COTA,VALOR PATRIMONIAL,ÚLTIMO RENDIMENTO,Papel
100.81,13.76,1.02,2.51,M,8.2,13.1,KINEA HIGH YIELD CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.130.708/0001-28,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,25688,28169496,99.15,R$ 2.79 Bilhões,1.3,KNHY11
93.91,13.76,0.92,2.41,M,6.31,12.68,KINEA CRÉDITO AGRO FIAGRO,41.745.701/0001-37,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,76567,21599908,102.57,R$ 2.22 Bilhões,1.1,KNCA11
63.6,13.69,0.84,1.0,M,-1.75,9.0,VBI REITS FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.507.457/0001-71,Geral,Renda,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,54574,10276001,75.52,R$ 776.04 Milhões,0.7,RVBI11
99.84,13.33,0.96,7.37,M,5.33,11.9,TRX REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.548.288/0001-52,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,0.22,184941,20035552,103.88,R$ 2.08 Bilhões,1.51,TRXF11
104.5,13.42,1.03,2.18,M,13.97,12.75,KINEA UNIQUE HY CDI FUNDO DE INVESTIMENTO IMOB,42.754.362/0001-18,Geral,Renda,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,36088,15312506,101.26,R$ 1.55 Bilhão,1.4,KNUQ11
95.0,13.64,0.93,719.92,K,-0.69,13.74,SPARTA FIAGRO FDO INV NAS CAD PROD AGRO,48.903.610/0001-21,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,9118,2369825,102.05,R$ 241.85 Milhões,1.25,CRAA11
79.2,13.54,0.87,953.82,K,11.5,9.53,FUNDO DE INVESTIMENTO IMOBILIÁRIO BARIGUI RENDIMENTOS IMOBILIÁRIOS I,29.267.567/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,33780,4634180,91.23,R$ 422.77 Milhões,1.05,BARI11
91.48,13.28,0.95,2.39,M,10.87,11.15,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIZA TERRAX,36.501.128/0001-86,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,,0.0,143075,18851709,96.61,R$ 1.82 Bilhão,1.05,RZTR11
9.61,13.23,0.94,1.34,M,9.45,1.23,SUNO AGRO,28.152.777/0001-90,Geral,Híbridos,Fiagros,Outro,Indeterminado,Ativa,,0.0,114260,60740342,10.22,R$ 620.59 Milhões,0.11,SNAG11
92.4,13.02,0.89,1.98,M,2.33,11.63,TIVIO RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,14.410.722/0001-29,Geral,Renda,Agências bancárias,Fundo de Tijolo,Indeterminado,Ativa,0.277,3.1,63021,15919679,104.05,R$ 1.66 Bilhão,1.03,TVRI11
93.44,13.03,0.96,2.37,M,10.01,11.66,FUNDO DE INVESTIMENTO IMOBILIÁRIO RBR PRIVATE CRÉDITO IMOBILIÁRIO,30.166.700/0001-11,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,59461,12769501,96.98,R$ 1.24 Bilhão,1.15,RBRY11
78.79,13.09,0.7,498.35,K,14.45,9.32,FUNDO DE INVESTIMENTO IMOBILIÁRIO BTG PACTUAL AGRO LOGÍSTICA,36.642.244/0001-15,Geral,Renda,Outros,Fundo de Tijolo,Indeterminado,Ativa,,0.0,39591,5982725,111.41,R$ 666.53 Milhões,0.9,BTAL11
87.55,13.03,0.84,191.2,K,4.56,11.12,FUNDO DE INVESTIMENTO IMOBILIÁRIO VOTORANTIM LOGÍSTICA,27.368.600/0001-63,fii.GENERAL,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.0,5881,2114989,104.98,R$ 222.03 Milhões,0.99,VTLT11
7.91,12.78,0.83,705.1,K,10.01,1.1,XP CRÉDITO AGRÍCOLA,41.269.527/0001-01,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,96921,45523065,9.6,R$ 437.06 Milhões,0.11,XPCA11
9.57,12.76,0.81,4.43,M,-1.95,4.01,SHOPPINGS AAA FDO DE INV IMOB,47.896.665/0001-99,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.9,21496,79699807,11.83,R$ 943.03 Milhões,0.1,CPSH11
7.76,12.97,0.79,546.4,K,-3.36,1.12,FII RBR MULT,41.088.458/0001-21,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,11779,29468648,9.77,R$ 287.99 Milhões,0.1,RBRX11
7.29,12.94,0.81,5.54,M,-0.82,0.9,CAPITANIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.979.895/0001-13,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,357034,328558318,8.96,R$ 2.95 Bilhões,0.09,CPTS11
76.12,12.95,0.76,661.27,K,4.59,9.48,FUNDO DE INVESTIMENTO IMOBILIARIO GREEN TOWERS,23.740.527/0001-58,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,0.0,36414,11999989,99.79,R$ 1.20 Bilhão,0.87,GTWR11
78.09,12.92,0.92,1.22,M,-0.75,10.1,FATOR VERITA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.664.201/0001-00,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,113015,15592413,84.55,R$ 1.32 Bilhão,0.85,VRTA11
91.8,12.72,0.97,1.04,M,7.34,11.4,AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO - RECEBÍVEIS IMOBILIÁRIOS,36.642.293/0001-58,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,39573,4555607,94.76,R$ 431.69 Milhões,1.09,AFHI11
94.85,12.65,0.97,4.01,M,2.95,11.45,CSHG RECEBÍVEIS IMOBILIÁRIOS - FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.160.521/0001-22,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,102035,15418095,97.65,R$ 1.51 Bilhão,1.05,HGCR11
8.77,12.64,1.0,4.05,M,7.48,1.01,KINEA SECURITIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.864.448/0001-38,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,219908,202202374,8.81,R$ 1.78 Bilhão,0.09,KNSC11
8.17,12.59,0.8,1.7,M,-4.22,1.17,ITAÚ ASSET RURAL FIAGRO,42.479.593/0001-60,Geral,Títulos e valores mobiliários,Fiagros,Outro,Indeterminado,Ativa,,0.0,87257,160099498,10.24,R$ 1.64 Bilhão,0.11,RURA11
87.89,12.54,0.95,5.3,M,3.61,10.29,KINEA INDICES DE PRECOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,24.960.430/0001-13,Investidor Qualificado,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,72774,80078175,92.18,R$ 7.38 Bilhões,0.8,KNIP11
82.22,12.66,0.84,574.53,K,2.04,10.49,TELLUS PROPERTIES FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.681.370/0001-25,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,0.0,29291,4221956,97.16,R$ 410.19 Milhões,1.1,TEPP11
82.24,12.5,0.92,1.58,M,7.57,10.31,XP CREDITO IMOBILIÁRIO - FUNDO DE INVESTIMENTO IMOBILIÁRIO,28.516.301/0001-91,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,67450,8701541,89.69,R$ 780.45 Milhões,1.0,XPCI11
6.74,12.29,0.78,1.81,M,-0.44,1.25,RBR ALPHA MULTIESTRATÉGIA REAL ESTATE FUNDO DE INVESTIMENTO IMOBILIÁRIO,27.529.279/0001-51,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,118182,136807689,8.62,R$ 1.18 Bilhão,0.06,RBRF11
5.73,12.08,0.78,1.7,B,-10.33,7.41,HEDGE TOP FOFII 3 FUNDO DE INVESTIMENTO IMOBILIÁRIO,18.307.582/0001-19,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,74817,230459989,7.37,R$ 1.70 Bilhão,0.06,HFOF11
6.83,12.09,0.85,437.21,K,-8.45,0.87,KLIMA FIC FUNDO IMOBILIÁRIO SUNO 30,36.669.660/0001-07,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,107615,44196039,8.1,R$ 357.98 Milhões,0.07,KISU11
9.23,12.17,0.91,1.81,M,3.59,1.11,BTG Pactual Fundo de CRI,09.552.812/0001-14,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,0.95,0.0,192178,99521161,10.15,R$ 1.01 Bilhão,0.1,BTCI11
79.89,12.1,0.84,795.05,K,-5.33,6.33,ITAÚ TOTAL RETURN FUNDO DE INVESTIMENTO IMOBILIÁRIO,52.270.671/0001-76,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo misto,Indeterminado,Ativa,,0.0,15897,6249989,95.76,R$ 598.50 Milhões,0.87,ITRI11
87.67,12.17,0.94,2.77,M,8.42,9.93,FUNDO DE INVESTIMENTO IMOBILIÁRIO - RBR RENDIMENTO HIGH GRADE,29.467.977/0001-03,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,125317,15057190,92.35,R$ 1.39 Bilhão,1.0,RBRR11
103.87,12.11,1.02,10.92,M,12.04,11.8,KINEA RENDIMENTOS IMOBILIARIOS FUNDO DE INVESTIMENTO IMOBILIARIO - FII,16.706.958/0001-32,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,414910,76509713,101.82,R$ 7.79 Bilhões,1.2,KNCR11
8.41,13.4,0.79,2.33,M,-12.03,11.9,FUNDO DE INVESTIMENTO IMOBILIÁRIO RIO BRAVO RENDA VAREJO - FII,15.576.907/0001-70,Geral,Desenvolvimento para renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,5.0,74111,156143039,10.63,R$ 1.66 Bilhão,0.09,RBVA11
92.13,12.01,0.92,4.12,M,8.07,10.81,KINEA HEDGE FUND FDO DE INV IMOB,42.754.342/0001-47,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,5.6,43517,19663224,99.82,R$ 1.96 Bilhão,1.0,KNHF11
9.49,12.01,1.0,9.36,M,5.09,1.18,MAXI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,97.521.225/0001-25,Geral,Híbridos,Híbrido,Fundo de papel,Indeterminado,Ativa,,0.0,1314627,437325286,9.48,R$ 4.15 Bilhões,0.1,MXRF11
101.24,10.93,0.86,11.05,M,-0.23,10.99,XP Malls Fundo de Investimento Imobiliario - Fii,28.757.546/0001-00,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.0,592429,56720776,117.39,R$ 6.66 Bilhões,0.92,XPML11
7.6,13.21,0.78,474.28,K,-12.74,0.37,AZ QUEST PANORAMA LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,51.890.054/0001-00,Geral,Renda,Logístico / Indústria / Galpões,Fundo misto,Indeterminado,Ativa,,0.0,6585,18209635,9.71,R$ 176.75 Milhões,0.09,AZPL11
79.82,11.29,0.9,702.4,K,-1.7,9.53,FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO KINEA FII,30.091.444/0001-40,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de fundos,Indeterminado,Ativa,,0.0,28799,7014554,88.65,R$ 621.82 Milhões,0.75,KFOF11
101.02,11.06,1.12,219.96,K,3.72,9.61,HSI RENDA IMOBILIÁRIA FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.098.114/0001-28,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,4.2,359,8898713,89.91,R$ 800.09 Milhões,1.72,HSRE11
104.0,12.42,0.77,1.19,M,3.93,7.72,LEGATUS SHOPPINGS FUNDO DE INVESTIMENTO IMOBILIÁRIO,30.248.158/0001-46,Geral,Desenvolvimento para renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.2,398,2940287,135.03,R$ 397.04 Milhões,3.78,LASC11
8.92,11.72,0.98,4.88,M,10.26,1.05,FUND. DE INVEST. IMOBILIÁRIO GUARDIAN REAL ESTATE,37.295.919/0001-60,Geral,Híbridos,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,0.0,379017,147458212,9.0,R$ 1.33 Bilhão,0.08,GARE11
9.83,11.96,0.88,4.44,M,-0.61,3.55,GGR COVEPI RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.614.291/0001-00,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,1.4,178717,152455655,11.18,R$ 1.71 Bilhão,0.11,GGRC11
86.05,11.89,0.91,2.96,M,5.92,9.7,FUNDO DE INVESTIMENTO IMOBILIÁRIO MAUÁ CAPITAL RECEBÍVEIS IMOBILIÁRIOS,23.648.935/0001-84,Geral,Títulos e valores mobiliários,Títulos e Valores Mobiliários,Fundo de papel,Indeterminado,Ativa,,0.0,108562,16960013,94.37,R$ 1.60 Bilhão,0.9,MCCI11
80.4,10.83,0.77,2.27,M,-8.31,9.52,HSI MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO,32.892.018/0001-31,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.3,188975,20808561,104.89,R$ 2.18 Bilhões,0.65,HSML11
83.1,10.73,0.79,670.69,K,20.33,8.3,RBR LOG - FUNDO DE INVESTIMENTO IMOBILIÁRIO,35.705.463/0001-33,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.0,13353,6687024,104.92,R$ 701.63 Milhões,0.75,RBRL11
10.67,10.73,1.11,3.67,M,19.35,5.04,Classe Única do Capitânia HBC Renda Urbana,34.691.520/0001-00,Geral,Renda,Híbrido,Outro,Indeterminado,Ativa,,2.2,1309,62371124,9.59,R$ 598.34 Milhões,0.06,CPUR11
78.94,12.57,0.8,2.0,M,-3.27,10.2,FUNDO DE INVESTIMENTO IMOBILIÁRIO ATHENA I,30.567.216/0001-02,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,0.38,18297,4611756,98.53,R$ 454.40 Milhões,0.8,FATN11
54.71,10.18,0.99,1.17,M,1.11,5.5,PARQUE ANHANGUERA FUNDO DE INVESTIMENTO IMOBILIÁRIO,12.978.943/0001-72,fii.GENERAL,Desenvolvimento para renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,0.0,465,13991879,55.41,R$ 775.28 Milhões,0.47,PQAG11
19.04,10.13,0.88,2.06,M,-3.25,20.5,HEDGE BRASIL SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO,08.431.747/0001-06,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.8,131721,129132999,21.61,R$ 2.79 Bilhões,0.16,HGBS11
124.09,9.91,0.97,3.18,M,6.74,12.15,CSHG RENDA URBANA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,29.641.226/0001-53,Geral,Renda,Híbrido,Fundo misto,Indeterminado,Ativa,,0.8,221390,23238013,127.75,R$ 2.97 Bilhões,1.55,HGRU11
116.0,9.9,0.74,1.54,M,9.74,10.5,CSHG REAL ESTATE - FUNDO DE INVESTIMENTO IMOBILIÁRIO,09.072.017/0001-29,Geral,Renda,Lajes Corporativas,Fundo de Tijolo,Indeterminado,Ativa,,13.3,142895,11817756,155.74,R$ 1.84 Bilhão,2.55,HGRE11
98.84,9.75,0.92,3.0,M,4.68,9.36,XP LOG FUNDO DE INVESTIMENTO IMOBILIÁRIO,26.502.794/0001-85,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,7.9,338826,31175920,106.9,R$ 3.33 Bilhões,0.82,XPLG11
99.9,9.8,0.83,2.6,M,-2.85,10.05,Genial Malls Fundo de Investimento Imobiliário,26.499.833/0001-32,Geral,Renda,Shoppings / Varejo,Fundo de Tijolo,Indeterminado,Ativa,,4.0,127327,13982082,121.03,R$ 1.69 Bilhão,0.86,MALL11
110.39,9.64,0.93,3.23,M,3.26,10.56,BRESCO LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO,20.748.515/0001-81,Geral,Híbridos,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,4.5,120732,15905122,117.88,R$ 1.87 Bilhão,1.05,BRCO11
82.33,9.48,0.73,1.56,M,-1.72,7.35,VINCI LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,24.853.044/0001-22,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,2.78,145502,14997385,112.42,R$ 1.69 Bilhão,0.7,VILG11
9.96,9.63,0.93,1.54,M,0.91,9.16,ALIANZA TRUST RENDA IMOBILIARIA - FUNDO DE INVESTIMENTO IMOBILIARIO,28.737.771/0001-85,Geral,Renda,Híbrido,Fundo de Tijolo,Indeterminado,Ativa,,0.0,164417,122266239,10.79,R$ 1.32 Bilhão,0.09,ALZR11
99.8,9.44,0.96,6.78,M,7.61,9.27,BTG PACTUAL LOGÍSTICA FUNDO DE INVESTIMENTO IMOBILIÁRIO,11.839.593/0001-09,Geral,Renda,Logístico / Indústria / Galpões,Fundo de Tijolo,Indeterminado,Ativa,,1.0,393460,43249140,104.21,R$ 4.51 Bilhões,0.78,BTLG11
