Papel,Setor,Preço Atual (R$),Liquidez Diária (R$),Último Dividendo,Dividend Yield,DY (3M) Acumulado,DY (6M) Acumulado,DY (12M) Acumulado,DY (3M) média,DY (6M) média,DY (12M) média,DY Ano,Variação Preço,Rentab. Período,Rentab. Acumulada,Patrimônio Líquido,VPA,P/VPA,DY Patrimonial,Variação Patrimonial,Rentab. Patr. Período,Rentab. Patr. Acumulada,Quant. Ativos,Volatilidade,Num. Cotistas
ALZR11,Misto,10.07,1160127.32,0.09,0.92 ,2.52 ,5.03 ,9.83 ,0.84 ,0.84 ,0.82 ,5.88 ,0.10 ,1.02 ,17.05 ,1317134585.24,10.77,0.94,0.87 ,-89.92 ,-89.84 ,-89.02 ,19,11.55,165613
APTO11,Imóveis Residenciais,8.44,13947.14,0.09,1.07 ,3.27 ,6.52 ,12.92 ,1.09 ,1.09 ,1.08 ,8.71 ,-0.59 ,0.47 ,9.31 ,45186047.74,9.80,0.86,0.98 ,-1.61 ,-0.64 ,13.45 ,3,20.46,8330
APXM11,Shoppings,85.00,182759.41,0.29,0.32 ,1.02 ,2.43 ,5.01 ,0.34 ,0.41 ,0.42 ,2.75 ,-2.00 ,-1.69 ,-5.36 ,348928821.47,,,,,,,1,59.04,593
ARCT11,Imóveis Industriais e Logísticos,87.13,1053903.45,0.50,0.00 ,1.30 ,3.82 ,12.55 ,0.43 ,0.64 ,1.05 ,0.00 ,0.00 ,0.00 ,,371534654.03,99.77,0.87,0.76 ,0.04 ,0.80 ,6.31 ,9,15.63,43228
AROA11,Imóveis Industriais e Logísticos,1.02,4617.41,0.01,0.63 ,1.89 ,3.85 ,7.79 ,0.63 ,0.64 ,0.65 ,5.15 ,4.00 ,4.66 ,11.71 ,160197706.28,,,,,,,6,31.23,4661
ARRI11,Papéis,6.74,168075.00,0.09,1.30 ,3.80 ,7.44 ,14.53 ,1.27 ,1.24 ,1.21 ,9.88 ,-2.80 ,-1.54 ,-4.42 ,175533265.54,8.47,0.80,1.06 ,-4.40 ,-3.39 ,-89.38 ,1,16.25,23824
ARXD11,Papéis,7.54,60555.86,0.10,1.25 ,3.72 ,7.72 ,15.50 ,1.24 ,1.29 ,1.29 ,10.59 ,-1.68 ,-0.45 ,10.37 ,82140658.62,,,,,,,14,30.74,1771
ASMT11,Lajes Corporativas,4.10,12484.00,0.08,1.12 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.19 ,-4.46 ,-3.39 ,-3.83 ,169085584.25,,,,,,,3,52.59,1
ASRF11,Indefinido,10888.00,494.91,256.33,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,38854069.91,,,,,,,2,21.59,68
ATSA11,Shoppings,49.99,157.17,0.15,0.30 ,1.60 ,2.08 ,5.02 ,0.53 ,0.35 ,0.42 ,4.08 ,-0.02 ,0.28 ,-1.81 ,134519467.21,76.82,0.65,0.69 ,-5.67 ,-5.02 ,-13.75 ,1,26.72,299
AURB11,Imóveis Comerciais - Outros,72.80,15440370.00,0.41,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,85085042.30,,,,,,,2,38.22,19
AZIN11,,99.71,568018.82,1.50,1.53 ,4.71 ,9.48 ,9.48 ,1.57 ,1.58 ,0.79 ,9.48 ,3.10 ,4.68 ,33.28 ,,,,,,,,0,12.63,0
AZPE11,Papéis,,,0.21,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,125116740.48,,,,,,,6,,2
AZPL11,Serviços Financeiros Diversos,7.70,959978.50,0.08,1.06 ,3.52 ,7.55 ,14.05 ,1.17 ,1.26 ,1.17 ,10.52 ,2.44 ,3.53 ,29.95 ,176932625.82,,,,,,,1,32.48,6591
BARI11,Papéis,79.20,1164202.40,0.95,0.00 ,2.60 ,6.69 ,14.24 ,0.87 ,1.12 ,1.19 ,9.77 ,0.00 ,0.00 ,,410276059.88,88.53,0.89,1.19 ,-7.16 ,-6.06 ,-1.81 ,2,19.36,31744
BBFI11B,Lajes Corporativas,1257.10,182918.19,634.23,47.51 ,0.00 ,47.51 ,69.77 ,0.00 ,7.92 ,5.81 ,69.77 ,4.22 ,53.73 ,119.39 ,111645834.19,864.77,1.45,73.34 ,-60.09 ,-30.81 ,-43.61 ,1,43.40,6989
BBFO11,Fundo de Fundos,62.71,152264.82,0.76,1.20 ,3.61 ,7.06 ,13.62 ,1.20 ,1.18 ,1.14 ,9.57 ,-1.17 ,0.01 ,19.36 ,290643427.56,72.59,0.86,1.07 ,-11.18 ,-10.23 ,-5.96 ,14,15.45,6963
BBGO11,Indefinido,65.38,164341.82,0.90,1.35 ,4.12 ,8.04 ,16.10 ,1.37 ,1.34 ,1.34 ,13.47 ,-2.82 ,-1.51 ,7.39 ,376205273.02,93.93,0.70,1.01 ,-4.09 ,-3.12 ,4.73 ,0,20.00,11750
BBIG11,Serviços Financeiros Diversos,7.03,746549.36,0.08,1.14 ,3.31 ,6.92 ,13.76 ,1.10 ,1.15 ,1.15 ,9.49 ,-5.01 ,-3.92 ,17.60 ,923684712.61,,,,,,,3,22.51,31784
BBIM11,Papéis,,,0.10,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,667.50,,,0.00 ,-100.00 ,0.00 ,0.00 ,14,,20
BBRC11,Agências de Bancos,98.35,78959.27,1.05,1.07 ,3.06 ,6.34 ,12.93 ,1.02 ,1.06 ,1.08 ,8.66 ,-2.13 ,-1.08 ,5.32 ,166087534.33,104.46,0.94,0.96 ,-2.97 ,-2.04 ,9.10 ,21,18.14,8954
BCIA11,Fundo de Fundos,81.96,288584.50,0.84,0.98 ,2.94 ,6.00 ,12.29 ,0.98 ,1.00 ,1.02 ,8.28 ,-1.69 ,-0.73 ,18.08 ,362556988.30,97.49,0.84,0.86 ,-2.76 ,-1.93 ,2.50 ,14,18.01,22044
BCRI11,Papéis,63.97,281312.41,0.91,1.40 ,3.97 ,7.62 ,15.83 ,1.32 ,1.27 ,1.32 ,10.52 ,-2.17 ,-0.80 ,25.39 ,521396300.60,83.32,0.77,1.02 ,-17.43 ,-16.59 ,-10.35 ,14,16.77,43136
BDIF11,Indefinido,72.16,1499151.36,0.90,1.23 ,3.46 ,7.63 ,15.21 ,1.15 ,1.27 ,1.27 ,10.48 ,-4.47 ,-3.30 ,17.60 ,,,,,,,,0,16.13,0
BDIV11,Indefinido,38.49,264993.50,1.60,3.97 ,8.30 ,13.05 ,234.87 ,2.77 ,2.18 ,19.57 ,13.05 ,9.23 ,13.57 ,14.93 ,,,,,,,,0,23.69,0
BETW11,Indefinido,,,0.49,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,263673514.23,,,,,,,1,,2
BICE11,Fundo de Fundos,894.34,14929200.00,4.66,0.00 ,0.40 ,1.93 ,6.14 ,0.40 ,0.32 ,0.51 ,3.61 ,0.00 ,0.00 ,,142141981.33,1065.42,0.84,0.34 ,6.89 ,7.24 ,15.00 ,14,43.80,119
BICR11,Papéis,35.92,72.00,0.36,1.02 ,0.00 ,0.00 ,2.34 ,0.00 ,0.00 ,0.20 ,4.52 ,-10.54 ,-9.63 ,-26.97 ,20805910.51,42.51,0.84,0.85 ,-57.20 ,-56.84 ,-52.66 ,14,34.47,641
BIDB11,Indefinido,77.84,240430.86,1.10,1.42 ,4.06 ,9.03 ,17.32 ,1.35 ,1.51 ,1.44 ,12.15 ,-1.26 ,0.14 ,19.08 ,,,,,,,,0,18.29,0
BIME11,Indefinido,6.95,29349.23,0.09,1.29 ,3.81 ,7.86 ,16.01 ,1.27 ,1.31 ,1.33 ,10.69 ,-2.64 ,-1.39 ,21.44 ,49272719.64,8.43,0.82,1.07 ,-6.64 ,-5.65 ,1.16 ,3,17.60,8483
BINC11,Papéis,95.88,589917.82,1.18,1.28 ,1.28 ,4.76 ,9.14 ,0.43 ,0.79 ,1.31 ,7.19 ,1.16 ,2.45 ,13.56 ,,,,,,,,0,22.09,0
BIPD11,Indefinido,1000.00,700000.00,27.17,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,110183858.03,,,,,,,1,11.30,111
BLCA11,Indefinido,95.49,380444.39,0.85,0.92 ,2.02 ,3.72 ,6.97 ,0.67 ,0.62 ,0.58 ,4.87 ,2.02 ,2.96 ,5.65 ,205465140.46,128.42,0.74,0.39 ,-10.58 ,-10.24 ,26.92 ,1,68.81,466
BLCP11,Imóveis Industriais e Logísticos,91.00,103127.50,0.56,0.63 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,4.26 ,0.00 ,0.00 ,,118155565.38,111.74,0.81,0.50 ,-0.02 ,0.49 ,15.81 ,14,0.87,8102
BLMC11,Papéis,85.75,150671.33,5.34,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.74 ,0.00 ,0.00 ,,118155565.38,94.69,0.91,1.13 ,-1.48 ,-0.36 ,2.88 ,14,3.23,8102
BLMG11,Imóveis Industriais e Logísticos,32.18,270025.50,0.36,1.07 ,2.85 ,6.34 ,17.33 ,0.95 ,1.06 ,1.44 ,11.41 ,-13.58 ,-12.66 ,22.20 ,330785007.13,70.76,0.45,0.49 ,-26.25 ,-25.88 ,-22.68 ,2,28.20,12836
BLMO11,Lajes Corporativas,89.43,91722.42,0.53,0.63 ,2.04 ,3.97 ,7.72 ,0.68 ,0.66 ,0.64 ,5.17 ,-1.18 ,-0.55 ,26.69 ,104248546.24,104.79,0.85,0.55 ,-99.65 ,-99.64 ,-99.59 ,1,41.54,328
BLMR11,Fundo de Fundos,6.78,1157702.33,0.37,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,7.61,0.89,0.70 ,-1.68 ,-0.99 ,1.82 ,14,3.49,8102
BLOG11,Misto,10.00,35.13,0.02,0.20 ,1.21 ,2.09 ,4.78 ,0.40 ,0.35 ,0.40 ,2.76 ,-7.15 ,-6.96 ,-8.04 ,346922775.80,,,,,,,6,76.70,92
BLUR11,Papéis,76.03,228.00,74.29,0.00 ,1.55 ,4.01 ,7.66 ,0.52 ,0.67 ,0.64 ,4.01 ,0.00 ,0.00 ,,6851720.42,,,,,,,14,95.50,1
BMLC11,Lajes Corporativas,97.00,239408.29,0.69,0.71 ,2.16 ,4.34 ,8.91 ,0.72 ,0.72 ,0.74 ,5.84 ,-0.02 ,0.69 ,10.55 ,105628332.89,105.80,0.92,0.66 ,-6.76 ,-6.14 ,2.48 ,1,988.34,1290
BNFS11,Agências de Bancos,71.10,68052.95,1.00,1.36 ,3.97 ,8.21 ,16.28 ,1.32 ,1.37 ,1.36 ,10.76 ,-3.55 ,-2.24 ,-7.97 ,54869484.53,78.38,0.91,1.28 ,-14.25 ,-13.15 ,-7.52 ,18,19.85,5951
BODB11,Indefinido,7.27,1275513.73,0.10,1.35 ,3.02 ,6.26 ,12.88 ,1.01 ,1.04 ,1.07 ,12.05 ,3.35 ,4.74 ,15.53 ,,,,,,,,0,21.67,0
BPFF11,Fundo de Fundos,54.50,284170.23,0.70,1.26 ,3.62 ,6.93 ,13.45 ,1.21 ,1.16 ,1.12 ,9.28 ,-6.87 ,-5.69 ,10.80 ,314197241.89,69.94,0.78,1.00 ,-4.83 ,-3.88 ,-1.05 ,14,17.45,20325
BPLC11,Misto,,,14.42,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,324215630.98,,,,,,,1,,129
BPML11,Shoppings,79.95,853228.55,1.06,1.33 ,3.79 ,7.58 ,16.69 ,1.26 ,1.26 ,1.39 ,13.51 ,0.50 ,1.84 ,46.06 ,939187214.73,126.21,0.63,0.84 ,1.17 ,2.02 ,2.98 ,11,18.84,5835
BPRP11,Imóveis Industriais e Logísticos,107.50,2150.00,0.93,0.00 ,0.00 ,0.00 ,0.86 ,0.00 ,0.00 ,0.86 ,4.54 ,0.00 ,0.00 ,,169496975.27,,,,,,,15,3.94,171
BRCO11,Imóveis Industriais e Logísticos,107.72,1858870.23,0.87,0.79 ,2.54 ,5.05 ,10.34 ,0.85 ,0.84 ,0.86 ,6.90 ,-0.54 ,0.24 ,24.16 ,1873877235.23,117.82,0.91,0.89 ,-3.01 ,-2.15 ,6.48 ,12,14.72,121554
BRCR11,Lajes Corporativas,41.01,691900.77,0.41,0.99 ,2.84 ,6.23 ,13.72 ,0.95 ,1.04 ,1.14 ,8.81 ,-4.09 ,-3.14 ,19.55 ,2264212740.68,85.00,0.48,0.48 ,-15.05 ,-14.64 ,-15.88 ,6,13.77,123217
BREV11,Lajes Corporativas,105.00,532138.00,0.58,0.55 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.03 ,0.32 ,0.87 ,22.08 ,118155565.38,,,0.00 ,-100.00 ,0.00 ,0.00 ,1,0.34,8102
BRFT11,Misto,84.80,44923.64,1.48,1.78 ,5.01 ,9.70 ,19.34 ,1.67 ,1.62 ,1.61 ,14.59 ,1.72 ,3.53 ,31.51 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,47.00,0
BRIM11,Fundo de Desenvolvimento,513.90,11908.23,80.56,14.66 ,14.66 ,36.63 ,78.29 ,4.89 ,6.11 ,6.52 ,59.43 ,7.05 ,22.74 ,29.89 ,45906376.13,,,,,,,2,106.51,685
BRIP11,Fundo de Desenvolvimento,678.29,3603.21,46.41,6.49 ,22.23 ,34.51 ,62.23 ,7.41 ,5.75 ,5.19 ,43.42 ,-3.16 ,3.13 ,51.59 ,137962795.11,,,,,,,10,126.73,435
BRIX11,Indefinido,1673.35,195781.00,180.14,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,124008928.61,,,,,,,10,,103
BRLA11,Imóveis Industriais e Logísticos,148.00,21194.28,1.15,0.78 ,2.38 ,3.11 ,4.64 ,0.79 ,0.52 ,0.39 ,4.64 ,4.99 ,5.81 ,5.06 ,815145198.38,166.46,0.89,0.69 ,5.36 ,6.09 ,-2.26 ,8,76.52,435
BROF11,Lajes Corporativas,55.69,386103.05,0.62,1.16 ,3.50 ,7.18 ,13.79 ,1.17 ,1.20 ,1.15 ,8.46 ,1.88 ,3.06 ,47.30 ,1256326727.66,,,,,,,2,23.42,10001
BRZP11,,139.60,899313.45,0.92,0.66 ,1.79 ,3.64 ,7.86 ,0.60 ,0.61 ,0.66 ,5.13 ,-4.66 ,-4.03 ,64.43 ,,,,,,,,0,22.85,0
BTAG11,Indefinido,96.20,47288.41,1.30,1.37 ,4.06 ,8.01 ,712.25 ,1.35 ,1.34 ,59.35 ,678.72 ,-2.62 ,-1.29 ,1258.16 ,,,,0.00 ,0.00 ,0.00 ,0.00 ,0,31.64,0
BTAL11,Imóveis Industriais e Logísticos,79.15,476612.59,0.90,1.07 ,3.30 ,6.85 ,14.44 ,1.10 ,1.14 ,1.20 ,8.14 ,1.48 ,2.57 ,49.50 ,673183103.37,112.52,0.70,0.80 ,7.10 ,7.96 ,17.04 ,9,16.48,39264
BTCI11,Papéis,9.15,1255112.55,0.10,1.09 ,3.26 ,6.54 ,13.12 ,1.09 ,1.09 ,1.09 ,8.79 ,-0.97 ,0.11 ,31.54 ,999013277.79,,,,,,,14,16.22,191444
BTCR11,Papéis,88.00,571148.00,0.90,0.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.53 ,-5.96 ,-5.04 ,14.54 ,118155565.38,95.27,0.92,0.94 ,0.64 ,1.59 ,4.62 ,14,32.78,8102
BTHF11,Papéis,8.23,2354116.23,0.09,1.12 ,3.22 ,6.84 ,10.93 ,1.07 ,1.14 ,1.21 ,9.66 ,-6.36 ,-5.31 ,19.02 ,2081493718.95,,,,,,,0,17.35,321729
BTHI11,Hotéis,42.40,12655.41,0.41,0.95 ,3.17 ,5.66 ,11.50 ,1.06 ,0.94 ,0.96 ,7.69 ,2.31 ,3.28 ,12.73 ,633626128.16,,,,,,,14,33.13,1420
BTLG11,Imóveis Industriais e Logísticos,98.45,5224503.36,0.78,0.79 ,2.34 ,4.77 ,10.05 ,0.78 ,0.80 ,0.84 ,6.59 ,-2.26 ,-1.49 ,21.49 ,4612541737.89,103.71,0.95,0.75 ,5.00 ,5.79 ,11.25 ,21,14.19,396300
BTML11,Lajes Corporativas,101.37,,0.89,0.00 ,0.00 ,2.57 ,7.03 ,0.00 ,0.43 ,0.59 ,4.59 ,0.00 ,0.00 ,,144707018.00,,,,,,,2,2.27,1
BTRA11,Indefinido,50.86,101804.59,0.83,1.56 ,2.99 ,4.73 ,9.47 ,1.00 ,0.79 ,0.79 ,5.68 ,-3.35 ,-1.84 ,41.87 ,373254978.90,110.94,0.46,0.75 ,-20.01 ,-19.42 ,14.74 ,6,26.14,12561
BTSG11,Imóveis Industriais e Logísticos,158.10,27.65,1.00,0.00 ,0.00 ,1.80 ,4.78 ,0.00 ,0.30 ,0.40 ,3.00 ,0.00 ,0.00 ,,117868181.76,152.09,1.04,0.62 ,10.49 ,11.18 ,22.45 ,1,16.70,107
BTSI11,Misto,109.59,110.00,0.78,0.00 ,0.70 ,2.81 ,6.24 ,0.70 ,0.47 ,0.52 ,3.51 ,0.00 ,0.00 ,,675582022.67,,,,,,,5,25.43,199
BTWR11,Fundo de Desenvolvimento,105.49,15.85,0.60,0.00 ,0.00 ,1.67 ,4.45 ,0.00 ,0.28 ,0.37 ,2.72 ,0.00 ,0.00 ,,95847412.44,118.44,0.89,0.55 ,5.74 ,6.32 ,14.88 ,1,33.99,140
BTYU11,Incorporações,9.72,2134.27,0.11,1.07 ,3.42 ,7.58 ,15.82 ,1.14 ,1.26 ,1.32 ,10.04 ,-3.92 ,-2.89 ,7.95 ,303135711.52,,,,,,,14,65.76,459
BZEL11,Misto,,,5.09,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,514334784.40,,,,,,,14,,3
CACR11,Papéis,82.99,2445773.27,1.35,1.40 ,4.30 ,8.70 ,17.78 ,1.43 ,1.45 ,1.48 ,11.97 ,-4.78 ,-3.45 ,25.66 ,460265927.91,95.17,0.87,1.52 ,-8.08 ,-6.67 ,30.34 ,14,20.51,24423
CARE11,Misto,1.17,4958.68,0.01,1.13 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,6.79 ,-2.63 ,-1.53 ,-2.26 ,249882258.24,1.60,0.73,0.10 ,-0.24 ,-0.14 ,3.56 ,14,40.58,56
CBOP11,Lajes Corporativas,22.44,4609.38,0.10,0.43 ,1.22 ,2.58 ,4.33 ,0.41 ,0.43 ,0.36 ,3.52 ,3.20 ,3.64 ,3.89 ,95582244.35,67.55,0.33,0.15 ,-8.49 ,-8.36 ,-18.33 ,1,53.20,2233
CCME11,Indefinido,8.63,203524.32,0.08,0.95 ,2.86 ,5.81 ,11.67 ,0.95 ,0.97 ,0.97 ,7.88 ,-3.08 ,-2.16 ,23.45 ,700807137.56,,,,,,,1,30.68,8265
CCRF11,Papéis,92.50,1276.82,3.50,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,93.23,0.99,3.76 ,-2.86 ,0.79 ,3.55 ,14,8.06,8102
CCVA11,Indefinido,98.97,159202.27,0.53,0.00 ,0.00 ,1.08 ,3.92 ,0.00 ,0.18 ,0.33 ,2.29 ,0.00 ,0.00 ,,60471384.34,,,,,,,1,4.68,1
CDII11,Indefinido,106.59,3333179.14,1.61,1.51 ,4.11 ,7.66 ,14.78 ,1.37 ,1.28 ,1.23 ,10.00 ,0.67 ,2.19 ,19.98 ,,,,,,,,0,14.21,0
CEOC11,Lajes Corporativas,41.45,19008.18,0.47,1.11 ,3.35 ,7.00 ,14.37 ,1.12 ,1.17 ,1.20 ,9.50 ,-0.68 ,0.42 ,29.55 ,132025374.14,72.71,0.57,0.65 ,-7.73 ,-7.13 ,-15.30 ,1,19.81,4035
CFHI11,Fundo de Desenvolvimento,320.00,320.00,65.00,0.00 ,0.00 ,21.79 ,23.53 ,0.00 ,3.63 ,2.14 ,23.53 ,0.00 ,0.00 ,,29351679.76,,,,,,,7,87.43,101
CFII11,Indefinido,650.00,520.00,3.85,0.00 ,0.00 ,5.19 ,13.43 ,0.00 ,0.87 ,1.68 ,13.43 ,0.00 ,0.00 ,,124595142.09,,,,,,,5,63.63,112
CIXM11,Misto,9.04,220499.50,0.15,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,239776833.04,,,,,,,14,,108
CJCT11,Lajes Corporativas,61.24,2322415.58,0.20,0.33 ,1.23 ,2.10 ,3.39 ,0.41 ,0.35 ,0.28 ,2.74 ,-1.44 ,-1.11 ,23.04 ,229044214.43,57.90,1.06,0.00 ,0.58 ,0.58 ,0.58 ,1,31.41,878
CLIN11,Fundo de Fundos,89.16,540676.09,1.00,1.12 ,3.58 ,7.46 ,14.71 ,1.19 ,1.24 ,1.23 ,10.12 ,-3.79 ,-2.72 ,26.14 ,421237172.01,,,,,,,14,19.11,12390
CNES11,Lajes Corporativas,1.23,71330.05,0.01,0.55 ,1.49 ,4.10 ,7.35 ,0.50 ,0.68 ,0.61 ,4.12 ,15.38 ,16.02 ,16.72 ,258302277.66,7.57,0.16,0.05 ,-91.54 ,-91.53 ,-91.16 ,1,34.65,90036
COPP11,Lajes Corporativas,103.00,1827632.00,0.75,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,518545832.67,,,,,,,4,17.75,126
CORM11,Lajes Corporativas,,,0.77,0.90 ,2.76 ,5.35 ,11.38 ,0.92 ,0.89 ,0.95 ,6.20 ,-2.97 ,-2.10 ,-4.27 ,,90.56,,0.89 ,-2.33 ,-1.45 ,0.21 ,0,,0
CPFO11,Fundo de Fundos,,,31.42,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,118155565.38,,,,,,,14,,8102
CPLG11,Misto,11.79,19600371.18,0.03,0.26 ,0.67 ,4.42 ,7.75 ,0.67 ,0.74 ,0.97 ,4.42 ,2.44 ,2.71 ,21.44 ,332390719.14,,,,,,,1,37.45,397
CPOF11,Misto,108.50,108.00,0.75,0.00 ,0.60 ,1.35 ,6.24 ,0.60 ,0.23 ,0.52 ,2.96 ,0.00 ,0.00 ,,518545832.67,,,,,,,4,44.07,126
CPSH11,Indefinido,9.48,1731620.64,0.10,1.01 ,3.10 ,6.54 ,13.50 ,1.03 ,1.09 ,1.13 ,7.71 ,2.59 ,3.63 ,26.97 ,933384512.43,,,,,,,7,14.64,22116
CPTI11,Indefinido,81.63,1339391.36,1.00,1.22 ,3.61 ,7.31 ,14.79 ,1.20 ,1.22 ,1.23 ,9.96 ,-1.78 ,-0.58 ,13.54 ,,,,,,,,0,16.51,0
CPTR11,Indefinido,7.46,204250.82,0.11,1.37 ,4.37 ,8.20 ,11.93 ,1.46 ,1.37 ,0.99 ,9.33 ,2.00 ,3.40 ,6.37 ,195672303.20,9.87,0.76,1.11 ,-90.00 ,-89.89 ,-89.74 ,0,17.93,21953
CPTS11,Papéis,7.28,4466594.64,0.09,1.18 ,3.58 ,7.13 ,13.95 ,1.19 ,1.19 ,1.16 ,9.61 ,-2.15 ,-1.00 ,31.77 ,2914035233.99,8.87,0.82,0.99 ,-90.01 ,-89.91 ,-89.81 ,14,15.74,356073
CPUR11,Misto,10.50,1932284.09,0.06,0.57 ,2.50 ,5.78 ,11.55 ,0.83 ,0.96 ,0.96 ,6.79 ,3.86 ,4.46 ,16.65 ,615592123.52,,,,,,,13,12.30,1393
CRAA11,Indefinido,94.93,537621.32,1.25,1.30 ,3.92 ,7.69 ,14.00 ,1.31 ,1.28 ,1.17 ,9.64 ,-0.99 ,0.30 ,31.08 ,241829110.61,102.04,0.93,1.23 ,0.00 ,0.00 ,0.00 ,0,12.12,9485
CRFF11,Fundo de Fundos,69.54,26974.50,0.61,0.87 ,2.55 ,5.05 ,10.74 ,0.85 ,0.84 ,0.90 ,8.04 ,-3.52 ,-2.68 ,15.83 ,55769698.78,80.82,0.86,0.75 ,-3.79 ,-3.06 ,2.37 ,14,40.95,1250
