P/L,P/RECEITA_(PSR),P/VP,DY,PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Papel
12.32,1.09,1.64,4.63,55.37,8.86,61.17,10.75,19.03,5.33,9.44,5.74,10.16,0.90,3.60,-2.18,9.72,1.29,0.82,13.28,13.18,7.30,-0.12,-0.41,-0.72,0.06,0.55,0.45,1.74,15.41,4.53,LREN3
4.12,0.13,1.11,6.39,26.01,3.11,4.61,4.72,5.15,4.74,5.18,2.49,2.71,0.39,1.85,-0.65,18.63,5.03,3.03,26.99,14.07,9.39,1.01,2.26,2.46,1.22,0.35,0.65,2.09,17.30,7.49,VBBR3
9.18,1.06,1.89,8.49,65.93,11.60,36.48,12.35,0.00,,8.17,,8.62,0.14,0.74,-2.18,19.34,3.97,0.13,20.54,21.01,1.52,,,,,0.07,0.92,1.25,16.28,23.81,ITUB4
6.24,1.04,1.54,7.23,45.24,16.72,73.73,68.79,91.66,4.67,6.23,1.14,1.52,0.18,1.54,-0.24,2.41,0.59,0.17,24.61,12.80,1.15,4.77,3.53,4.71,6.33,0.12,0.88,1.80,20.43,7.54,VAMO3
12.79,1.26,1.81,3.81,47.47,9.89,38.35,29.61,37.07,7.55,9.45,3.41,4.27,0.41,5.50,-0.49,7.28,1.03,0.33,14.16,11.10,3.29,2.20,4.14,5.18,2.65,0.23,0.77,1.88,16.32,89.82,MOTV3
9.99,0.47,0.59,3.94,39.71,4.73,12.41,8.66,13.69,4.30,6.79,3.45,5.46,0.38,1.50,-0.61,27.08,1.61,0.80,5.95,6.70,3.80,0.17,0.96,1.52,0.33,0.63,0.37,2.89,9.54,6.69,GGBR4
7.55,14.07,1.31,10.15,69.51,186.37,25.32,206.48,221.89,6.50,6.99,6.34,6.82,1.03,17.99,-1.16,8.15,1.41,0.07,17.33,16.97,13.72,0.05,0.22,0.24,0.13,0.78,0.18,2.00,7.21,16.35,ITSA4
-3.83,0.07,2.27,0.00,0.00,-1.91,19.01,7.07,9.00,4.36,5.55,0.81,1.03,0.07,0.47,-0.19,2.35,-1.39,1.00,-59.34,10.98,-1.87,9.92,3.55,4.52,18.71,0.03,0.95,1.34,17.96,,BEEF3
-0.87,0.23,1.41,0.00,0.00,-26.95,31.48,6.62,16.88,8.63,21.98,1.38,3.53,0.08,0.84,-0.10,3.85,-6.29,0.35,-163.24,-2.81,-7.90,7.40,7.24,18.46,9.29,0.06,0.74,1.83,26.38,,CSAN3
-10.55,0.72,2.27,0.00,0.00,-6.83,95.23,9.09,24.13,3.59,9.53,2.98,7.92,0.28,-3.24,-0.69,0.89,-0.19,0.39,-21.49,11.28,-2.67,0.46,0.61,1.62,1.17,0.12,0.88,0.87,18.74,,CVCB3
8.58,0.17,0.93,2.66,22.47,2.01,30.93,20.55,36.50,3.55,6.31,0.47,0.84,0.08,-1.10,-0.11,7.31,0.79,0.48,10.81,12.82,0.96,6.06,3.08,5.47,7.36,0.09,0.91,0.77,28.42,21.31,MOVI3
-4.00,0.20,0.65,8.02,-32.32,-5.05,26.35,10.30,19.25,4.82,9.00,1.05,1.96,0.09,1.01,-0.14,10.48,-1.70,0.44,-16.24,6.05,-1.68,2.33,3.77,7.04,3.71,0.14,0.83,1.35,8.25,,CSNA3
-15.79,1.00,0.87,0.55,-8.55,-6.34,19.44,13.73,23.50,11.86,20.30,4.26,7.29,0.22,4.75,-0.27,12.08,-0.67,0.22,-5.52,3.51,-1.18,1.56,7.60,13.01,1.95,0.26,0.71,1.36,,,AURE3
43.45,2.02,2.09,5.26,233.05,4.64,46.24,30.84,49.12,6.33,10.08,4.11,6.54,0.55,8.26,-0.67,7.23,0.35,0.27,4.81,11.34,1.31,1.13,2.22,3.53,1.58,0.26,0.73,1.62,14.81,16.76,RAIL3
4.77,0.74,1.09,18.11,82.70,15.50,18.32,22.09,25.52,4.39,5.08,2.89,3.34,0.49,-509.03,-0.62,9.95,2.27,0.66,22.84,17.09,10.26,0.43,1.15,1.33,0.54,0.45,0.55,1.00,10.71,17.82,CMIG4
6.90,0.15,1.25,2.61,26.80,2.11,7.10,3.95,4.65,5.46,6.43,3.13,3.69,0.44,2.65,-0.70,14.41,2.61,3.03,18.13,2.85,6.78,0.93,2.33,2.74,1.18,0.35,0.60,1.82,11.20,27.23,UGPA3
8.37,1.13,2.42,6.44,54.02,13.49,24.70,15.90,17.71,6.74,7.51,6.38,7.10,1.07,3.81,-2.68,3.67,1.06,0.94,28.97,14.89,12.84,0.32,0.85,0.95,0.79,0.44,0.55,1.87,20.08,68.13,POMO4
5.62,1.10,0.97,4.32,13.60,19.60,32.58,23.51,24.81,6.14,6.48,4.44,4.69,0.40,1.02,-0.93,25.48,4.39,0.37,17.22,10.91,8.55,0.37,1.70,1.79,0.70,0.42,0.54,3.36,17.59,1.81,CYRE3
3.18,2.35,1.29,0.00,0.00,73.88,34.70,26.83,54.84,6.61,13.51,4.29,8.76,0.61,10.65,-0.73,29.21,11.81,0.26,40.45,-6.47,19.10,0.70,2.32,4.75,0.88,0.47,0.53,1.54,49.74,87.83,PRIO3
11.71,1.49,1.39,6.90,76.86,12.75,21.84,19.62,25.74,8.38,11.00,5.80,7.61,0.59,24.85,-0.73,8.58,1.02,0.39,11.89,8.79,4.99,0.66,2.76,3.63,0.78,0.42,0.58,1.13,4.89,-4.97,CPLE6
15.62,0.92,1.43,5.22,82.25,5.88,28.53,20.59,33.52,5.25,8.55,2.74,4.46,0.45,8.39,-0.57,23.54,2.15,0.49,9.12,9.74,2.86,1.31,2.51,4.09,1.63,0.31,0.69,1.33,30.87,17.26,RENT3
12.35,3.31,2.60,2.44,30.19,26.76,19.74,30.29,0.00,,13.95,,10.91,0.30,-20.53,-2.31,16.61,3.50,0.09,21.05,22.82,2.46,,,,,0.12,0.88,0.98,30.59,32.53,BPAC11
5.57,0.86,0.71,0.00,0.00,15.44,28.96,29.34,46.82,4.42,7.05,1.84,2.93,0.20,4.30,-0.24,26.39,3.38,0.23,12.81,7.83,3.59,1.00,2.58,4.12,1.38,0.28,0.72,1.37,118.45,,BRAV3
18.86,1.91,1.62,2.95,126.35,10.12,44.08,15.54,41.26,5.08,13.49,4.62,12.27,0.87,-235.65,-1.10,21.10,1.81,0.46,8.57,9.75,4.61,0.16,0.46,1.21,0.30,0.54,0.46,0.98,5.98,4.08,VIVT3
29.23,4.44,5.13,1.22,51.62,15.17,69.48,17.86,23.91,18.25,24.44,18.55,24.84,2.80,13.76,-4.34,8.17,1.43,0.63,17.55,14.48,9.83,-0.08,-0.30,-0.40,0.35,0.55,0.42,2.36,16.88,24.47,TOTS3
-0.82,0.08,0.58,0.00,0.00,-9.40,27.44,-1.00,5.07,4.21,-21.34,1.51,-7.66,0.08,-4.95,-0.11,5.21,-3.67,1.04,-70.51,-5.38,-9.78,1.03,2.70,-13.68,1.73,0.14,0.86,0.95,-17.87,,PCAR3
25.22,0.75,4.62,2.35,49.10,2.99,29.41,5.59,9.70,8.55,14.83,7.77,13.48,1.34,8.17,-3.16,3.88,0.71,1.78,18.34,21.25,5.37,0.46,0.78,1.35,0.55,0.29,0.71,1.40,15.34,20.00,RADL3
-7.03,1.66,1.25,0.00,0.00,-23.60,24.52,4.07,26.07,12.49,79.97,6.36,40.74,0.40,1.93,-0.61,2.90,-0.51,0.24,-17.73,-0.58,-5.68,1.20,6.13,39.23,1.70,0.32,0.68,2.49,2.50,,HBSA3
7.95,0.13,0.46,3.76,37.09,1.63,12.41,8.64,13.62,1.92,3.02,0.95,1.50,0.10,0.41,-0.17,19.50,1.13,0.80,5.81,13.02,3.80,0.47,0.97,1.52,0.93,0.22,0.37,2.89,9.54,6.74,GOAU4
-0.15,0.01,0.18,0.00,0.00,-6.32,30.66,3.58,7.25,4.31,8.72,0.13,0.27,0.01,-0.05,-0.01,16.19,-18.76,0.84,-115.92,0.65,-5.32,5.55,4.17,8.45,6.78,0.05,0.95,0.71,-0.46,,BHIA3
6.98,0.62,0.83,8.37,54.45,8.83,31.68,8.22,0.00,,8.11,,7.49,0.07,0.52,-0.35,16.43,1.95,0.11,11.89,10.09,0.98,,,,,0.08,0.92,1.19,24.03,4.85,BBDC3
76.32,1.60,0.83,3.01,134.35,2.09,47.60,9.18,18.73,7.55,15.40,8.53,17.40,0.60,10.53,-0.86,4.89,0.05,0.37,1.09,3.54,0.78,-0.10,-0.98,-2.00,0.03,0.72,0.28,1.23,24.03,8.74,LWSA3
-1.69,5.87,-1.52,0.00,0.00,-347.62,3.27,-281.31,-263.71,-2.56,-2.40,-2.23,-2.09,0.86,-4.54,-1.30,-0.74,-0.67,0.15,-90.06,72.88,-54.35,0.00,0.00,0.00,0.00,-0.57,1.57,0.64,-26.48,,RCSL4
26.15,1.40,3.07,0.09,2.43,5.37,18.57,11.14,14.71,10.43,13.77,9.55,12.60,0.85,6.37,-1.84,24.57,2.89,0.60,11.75,13.33,3.18,0.28,0.88,1.17,0.66,0.28,0.70,1.33,15.17,,EMBR3
-0.15,0.04,-0.18,0.00,0.00,-24.94,30.28,-5.87,1.97,48.44,-16.26,1.90,-0.64,0.02,0.14,-0.05,-2.72,-3.19,0.65,-117.38,-9.11,-16.12,-4.32,46.54,-15.63,-4.82,-0.14,1.14,1.51,,,IFCM3
10.72,1.10,2.20,6.03,64.23,10.26,38.55,23.12,36.52,6.77,10.70,3.01,4.75,0.37,2.81,-0.50,8.25,1.69,0.34,20.50,9.35,3.82,2.74,3.75,5.92,3.53,0.17,0.78,2.11,11.26,,KLBN11
7.15,,6.08,13.11,83.23,0.00,0.00,0.00,0.00,,5.57,,6.44,2.98,22.15,-5.61,5.25,4.46,0.00,84.97,77.21,41.71,-0.83,,-0.88,0.00,0.49,0.51,1.40,-100.00,18.29,BBSE3
-2.48,83.06,0.68,0.00,0.00,-3349.72,23.52,-4962.33,-5145.59,-1.61,-1.67,-1.61,-1.67,0.55,-12.03,-0.55,0.77,-0.21,0.01,-27.29,-53.74,-22.17,0.00,0.00,0.00,0.00,0.81,0.19,0.02,,,AZTE3
10.99,0.17,0.71,3.93,42.80,1.53,25.85,9.11,12.35,5.89,7.99,1.36,1.85,0.12,0.47,-0.26,9.28,0.60,0.74,6.45,8.66,2.53,2.37,4.55,6.17,2.93,0.18,0.75,2.04,19.16,-11.93,RAPT4
7.00,0.12,6.99,12.09,85.89,1.78,12.80,3.71,8.36,4.72,10.64,1.49,3.35,0.14,2.04,-0.23,3.30,3.30,1.16,99.86,4.81,2.78,15.19,3.23,7.29,23.30,0.02,0.86,1.22,18.74,-3.29,MRFG3
5.45,0.86,1.06,17.09,94.39,15.69,49.10,27.00,35.79,4.13,5.47,2.39,3.17,0.36,-9.74,-0.41,30.97,6.00,0.42,19.38,12.74,6.62,0.80,1.81,2.40,0.93,0.34,0.66,0.76,12.63,65.59,PETR3
-112.12,0.52,1.08,7.39,-824.59,-0.47,46.97,2.85,8.28,6.53,18.97,6.34,18.42,0.48,3.13,-0.74,3.64,-0.03,0.91,-0.96,4.16,-0.42,0.03,0.19,0.55,0.25,0.44,0.56,1.72,19.18,,PETZ3
103.71,1.42,1.40,0.00,0.00,1.37,34.40,24.27,39.51,8.65,14.08,3.59,5.85,0.37,46.48,-0.44,8.64,0.12,0.26,1.35,6.88,0.37,1.96,5.06,8.23,2.15,0.27,0.73,1.06,37.02,6.36,SRNA3
25.56,2.11,2.40,2.47,63.43,8.25,42.37,23.11,47.57,5.48,11.29,4.43,9.12,0.73,10.94,-0.94,9.62,0.90,0.35,9.41,12.00,2.89,0.57,1.05,2.17,1.06,0.31,0.69,1.45,,,SMFT3
9.48,,3.08,8.63,81.38,0.00,0.00,0.00,0.00,,8.42,,8.65,2.85,64.44,-3.23,4.44,1.44,0.00,32.52,31.19,30.05,-0.08,,-0.23,0.00,0.92,0.08,1.59,-100.00,19.67,CXSE3
13.01,5.07,2.32,4.30,49.75,38.96,81.07,66.12,71.39,9.37,10.12,7.10,7.67,1.11,32.16,-1.31,11.37,2.03,0.22,17.82,14.78,8.55,0.74,2.27,2.45,0.87,0.48,0.52,1.31,20.09,1.78,MULT3
14.64,2.22,0.82,8.46,63.00,15.17,45.23,42.34,52.11,6.31,7.77,4.26,5.25,0.35,4.19,-0.43,51.45,2.87,0.16,5.58,9.73,2.41,0.34,1.78,2.19,0.59,0.43,0.57,1.86,8.48,0.75,ELET3
-1.07,0.08,-1.64,0.00,0.00,-7.47,6.52,-1.65,4.60,11.96,-33.32,1.75,-4.86,0.07,1.18,-0.10,-4.77,-7.29,0.85,-152.67,-9.65,-7.13,-9.53,10.14,-28.24,-12.24,-0.04,1.04,1.21,5.83,,BRKM5
11.83,1.36,2.84,17.38,205.13,11.52,54.65,23.44,29.81,3.68,4.69,4.57,5.81,0.73,3.52,-1.38,1.68,0.40,0.54,24.04,21.08,6.17,-0.55,-0.89,-1.13,1.00,0.26,0.74,1.78,6.94,-11.25,CMIN3
12.01,0.89,1.57,2.26,26.96,7.38,27.54,20.36,26.04,6.95,8.89,3.41,4.36,0.38,8.94,-0.48,22.43,2.93,0.42,13.05,11.90,3.85,1.63,3.55,4.54,1.97,0.24,0.72,1.24,22.57,5.42,EQTL3
11.36,1.41,1.05,0.00,584.54,12.40,15.24,15.24,19.04,6.44,8.05,7.40,9.24,0.85,9.00,-1.10,4.69,0.43,0.60,9.22,4.61,7.31,-0.13,-0.95,-1.19,0.00,0.81,0.18,1.69,25.68,19.55,CASH3
5.72,,0.71,12.78,71.35,0.00,0.00,0.00,0.00,5.67,5.67,6.12,6.12,0.70,24.84,-0.73,22.31,2.75,0.00,12.34,11.54,12.27,-0.03,-0.29,-0.29,0.00,0.99,0.01,6.50,-100.00,-5.91,BRAP4
14.94,2.08,2.16,7.98,89.74,13.92,53.17,22.60,49.63,3.99,8.77,4.19,9.20,0.95,-38.62,-1.25,10.38,1.50,0.46,14.43,20.34,6.37,-0.10,-0.20,-0.44,0.12,0.44,0.56,0.91,8.57,14.49,TIMS3
-103.78,1.45,1.14,0.00,0.00,-1.40,30.95,17.72,32.11,7.62,13.81,4.52,8.19,0.42,8.40,-0.50,12.30,-0.14,0.29,-1.10,6.96,0.47,0.79,3.10,5.62,0.98,0.37,0.61,1.42,36.52,-24.27,ENEV3
12.58,0.69,1.24,4.36,55.24,5.49,61.02,16.26,31.24,4.86,9.33,2.21,4.25,0.39,7.55,-0.51,10.52,1.03,0.57,9.82,9.90,3.11,1.48,2.64,5.08,1.74,0.32,0.68,1.28,7.13,24.43,YDUQ3
12.67,0.98,1.43,7.09,91.84,7.73,26.92,15.06,25.69,5.44,9.28,3.81,6.50,0.59,2.93,-0.88,9.83,1.11,0.60,11.27,9.35,4.46,0.61,1.63,2.78,1.00,0.41,0.58,2.51,21.42,17.83,FLRY3
29.08,7.66,2.12,3.12,66.23,26.33,63.86,53.76,68.83,10.08,12.90,11.13,14.24,1.14,8.51,-1.51,10.32,0.75,0.15,7.29,7.55,3.96,0.42,2.22,2.84,0.81,0.54,0.46,2.16,11.33,11.90,IGTI11
20.91,1.63,3.39,1.99,41.39,7.79,19.84,15.96,19.30,8.19,9.90,8.44,10.20,0.81,2.39,-1.69,11.08,1.80,0.50,16.22,11.73,3.99,-0.10,-0.25,-0.30,1.50,0.24,0.74,2.89,30.36,55.80,RDOR3
-39.64,0.80,0.39,0.00,0.00,-2.02,17.31,5.80,11.89,8.01,16.40,6.75,13.83,0.26,3.02,-0.31,96.64,-0.95,0.32,-0.99,1.71,-0.64,0.07,1.26,2.58,0.27,0.65,0.35,2.05,22.54,,HAPV3
3.23,2.03,0.62,6.83,22.20,62.89,58.86,92.95,96.72,4.02,4.18,2.10,2.19,0.24,1.11,-0.37,8.79,1.68,0.12,19.08,12.37,7.35,0.56,1.92,1.99,0.93,0.39,0.59,2.48,9.20,12.21,JHSF3
9.11,0.33,0.54,1.70,150.73,3.62,61.00,23.44,33.82,4.04,5.83,0.98,1.41,0.13,0.99,-0.17,5.89,0.35,0.39,5.91,11.37,2.80,1.69,3.07,4.42,2.30,0.24,0.70,2.22,22.23,,ANIM3
9.58,0.60,1.39,2.48,0.00,6.26,55.09,12.29,14.32,4.42,5.15,4.19,4.88,0.54,3.51,-1.03,11.21,1.63,0.90,14.53,18.15,5.66,0.08,0.23,0.27,0.37,0.39,0.61,1.49,14.45,,CEAB3
23.91,0.55,0.68,0.96,122.20,2.31,25.33,10.44,25.75,4.55,11.22,2.15,5.29,0.26,5.14,-0.35,8.30,0.23,0.46,2.83,6.36,1.18,0.76,2.40,5.92,0.97,0.38,0.61,1.22,7.21,-14.12,DXCO3
9.12,0.51,1.94,3.54,33.06,5.61,26.31,11.49,17.02,3.52,5.22,3.00,4.45,0.51,2.92,-1.04,10.01,2.13,0.99,21.28,15.80,6.10,0.34,0.52,0.77,1.23,0.26,0.72,1.52,10.13,23.05,BRFS3
16.67,4.39,0.91,4.85,80.86,26.33,74.56,55.52,77.32,4.31,6.00,5.68,7.90,0.47,4.90,-0.54,24.77,1.36,0.11,5.48,11.23,3.19,-0.22,-1.37,-1.91,0.00,0.51,0.46,2.91,28.57,33.05,ALOS3
7.09,1.97,1.96,3.23,22.84,27.76,53.06,44.30,49.87,5.11,5.75,3.94,4.44,0.89,28.54,-1.05,59.17,16.33,0.45,27.61,18.05,12.58,0.58,1.16,1.31,0.77,0.46,0.54,1.26,17.71,62.90,SBSP3
-0.80,0.52,0.13,0.00,0.00,-65.71,-0.65,-27.51,-9.60,-47.65,-16.63,-5.44,-1.90,0.05,-0.59,-0.06,4.17,-0.67,0.09,-16.00,-8.30,-5.69,0.99,-42.34,-14.77,1.01,0.36,0.64,0.74,53.88,,AZEV4
8.52,1.30,1.54,3.82,32.59,15.26,37.73,26.63,47.00,5.72,10.10,2.76,4.88,0.42,2.44,-0.56,34.12,6.19,0.32,18.14,7.74,4.93,1.65,2.96,5.22,2.12,0.27,0.73,3.16,10.99,,SUZB3
7.38,1.24,1.19,6.41,58.40,16.78,42.60,24.63,35.36,5.52,7.93,3.50,5.03,0.60,10.25,-0.72,22.15,3.57,0.49,16.13,10.75,8.19,0.69,2.02,2.90,0.81,0.51,0.49,1.57,8.66,10.71,CSMG3
-10.23,0.09,1.16,1.71,-16.08,-0.89,25.94,16.44,26.64,4.39,7.12,0.34,0.56,0.05,0.43,-0.07,3.85,-0.44,0.51,-11.36,11.15,-0.22,13.73,4.05,6.57,17.42,0.04,0.92,1.46,34.24,,SIMH3
-0.74,0.48,0.12,0.00,0.00,-65.71,-0.65,-27.51,-9.60,-47.65,-16.63,-5.03,-1.76,0.04,-0.54,-0.05,4.17,-0.67,0.09,-16.00,-8.30,-5.69,0.99,-42.34,-14.77,1.01,0.36,0.64,0.74,53.88,,AZEV3
18.94,0.75,1.13,5.65,35.48,3.94,35.93,22.91,35.77,4.95,7.73,2.09,3.26,0.30,1.62,-0.45,3.56,0.21,0.41,5.95,11.21,1.70,1.55,2.86,4.47,2.05,0.27,0.72,2.42,76.73,26.56,ARML3
17.31,0.68,3.01,1.96,33.64,3.91,14.47,8.31,10.39,7.82,9.78,6.51,8.14,0.79,2.68,-1.64,5.54,0.96,1.17,17.38,12.61,4.64,0.60,1.31,1.63,1.33,0.26,0.74,2.33,,,GGPS3
8.58,0.83,1.27,4.01,34.95,9.70,29.25,9.42,11.73,7.36,9.17,7.09,8.84,0.75,1.63,-2.65,9.39,1.39,0.90,14.81,10.32,8.73,0.05,0.27,0.33,0.32,0.59,0.41,2.79,17.10,6.76,INTB3
7.39,0.64,0.91,3.17,23.29,8.62,27.16,20.03,25.94,5.92,7.67,2.46,3.18,0.29,10.47,-0.36,29.02,3.56,0.45,12.28,11.41,3.93,1.28,3.46,4.49,1.44,0.32,0.68,1.17,9.42,8.42,NEOE3
6.32,0.46,1.26,4.47,0.00,7.21,39.40,35.59,46.76,5.04,6.63,0.98,1.28,0.15,-2.95,-0.17,5.43,1.08,0.32,19.99,11.11,2.26,5.28,4.07,5.35,6.06,0.12,0.88,0.72,21.24,,ECOR3
9.66,2.35,2.36,2.42,23.14,24.29,71.05,25.17,30.64,8.00,9.74,7.66,9.32,1.52,3.18,-4.12,11.70,2.85,0.65,24.39,19.28,15.72,0.11,0.34,0.42,0.17,0.64,0.36,4.13,21.51,35.65,VIVA3
5.90,1.75,1.19,9.19,53.76,29.72,47.38,19.68,22.80,5.56,6.44,7.69,8.91,1.07,1.92,-3.10,4.46,0.90,0.61,20.17,11.68,18.20,-0.33,-2.13,-2.47,0.02,0.90,0.10,6.97,7.54,14.88,GRND3
0.01,0.11,-0.01,0.00,0.00,847.38,-103.32,-68.99,-24.65,-24.56,-8.78,-0.45,-0.16,0.01,-0.08,-0.01,-44.41,42.57,0.08,-95.87,34.45,71.55,-0.67,-24.08,-8.61,-0.77,-0.75,1.74,0.70,-29.14,,OIBR3
8.05,0.67,0.81,6.70,52.91,8.27,36.44,11.31,0.00,,5.86,,5.88,0.08,-0.12,-0.10,32.61,3.29,0.12,10.09,10.85,1.01,,,,,0.10,0.95,0.24,19.14,-1.49,SANB11
-5.73,0.15,0.87,5.55,-31.94,-2.68,33.75,2.22,7.13,1.51,4.85,2.15,6.92,0.11,0.40,-0.42,2.51,-0.38,0.74,-15.22,5.61,-1.99,-0.26,-0.65,-2.07,1.01,0.13,0.87,1.65,11.38,,LJQQ3
10.06,0.22,0.43,0.00,0.00,2.15,11.05,8.33,16.26,3.62,7.06,1.33,2.60,0.14,0.97,-0.21,6.70,0.29,0.66,4.32,7.48,2.20,0.75,2.29,4.46,0.90,0.33,0.66,1.86,,,CBAV3
6.60,0.71,2.16,2.78,5.43,10.69,29.38,11.13,13.15,6.27,7.40,5.36,6.34,0.44,1.38,-1.16,9.58,3.14,0.62,32.79,15.52,6.45,0.36,0.90,1.07,1.01,0.20,0.80,2.03,9.66,13.55,TEND3
10.88,1.39,1.29,6.71,76.86,12.75,21.84,19.62,25.74,8.38,11.00,5.39,7.07,0.55,23.08,-0.68,8.58,1.02,0.39,11.89,8.79,4.99,0.66,2.76,3.63,0.78,0.42,0.58,1.13,4.89,-4.97,CPLE3
11.31,2.51,3.02,6.22,70.40,22.19,48.26,34.52,45.38,7.21,9.48,5.53,7.27,1.25,-50.64,-1.47,5.91,1.58,0.50,26.69,15.91,11.17,0.92,1.68,2.21,1.03,0.41,0.59,0.86,11.50,42.86,PORT3
