Cotação,VARIAÇÃO_(12M),P/L,P/VP,DY,Papel,P/RECEITA_(PSR),PAYOUT,MARGEM_LÍQUIDA,MARGEM_BRUTA,MARGEM_EBIT,MARGEM_EBITDA,EV/EBITDA,EV/EBIT,P/EBITDA,P/EBIT,P/ATIVO,P/CAP.GIRO,P/ATIVO_CIRC_LIQ,VPA,LPA,GIRO_ATIVOS,ROE,ROIC,ROA,DÍVIDA_LÍQUIDA_/_PATRIMÔNIO,DÍVIDA_LÍQUIDA_/_EBITDA,DÍVIDA_LÍQUIDA_/_EBIT,DÍVIDA_BRUTA_/_PATRIMÔNIO,PATRIMÔNIO_/_ATIVOS,PASSIVOS_/_ATIVOS,LIQUIDEZ_CORRENTE,CAGR_RECEITAS_5_ANOS,CAGR_LUCROS_5_ANOS,Valor_de_mercado,Valor_de_firma,Patrimônio_Líquido,Nº_total_de_papeis,Ativos,Ativo_Circulante,Dívida_Bruta,Dívida_Líquida,Disponibilidade,Tag_Along,Segmento_de_Listagem,Free_Float,Setor,Segmento,Ticker_Img
"20,70","0,69","4,92","0,49","9,57",LOGG3,"7,93","46,43","161,20","97,69","232,52","235,59","7,24","7,33","3,37","3,41","0,25","2,91","-0,32","42,57","4,21","0,03","9,88","8,00","5,17","0,56","3,87","3,92","0,63","0,52","0,48","1,70","10,13","21,05",1.818.684.000,3.908.924.000,3.740.220.000,87.859.000,7.166.963.000,1.512.564.000,2.370.934.000,2.090.240.000,280.694.000,"100,00",Novo_Mercado,"57,32",Financeiro,Exploração_de_Imóveis,https://investidor10.com.br/storage/companies/66db25c00a2d4.jpg
"4,77","-19,47","9,85","1,14","6,42",VITT3,"0,89","3,37","9,07","32,86","10,85","389,27","0,30","10,72","0,23","8,23","0,73","1,84","-1,97","4,18","0,48","0,81","11,59","7,93","7,36","0,35","0,07","2,49","0,37","0,64","0,36","2,67","8,64","-3,33",716.997.000,934.079.000,628.625.000,150.314.000,985.798.000,621.800.000,235.355.000,217.082.000,18.273.000,"100,00",Nível_1,"31,87",Consumo_não_Cíclico,Agricultura,https://investidor10.com.br/storage/companies/60059edbeae3c.jpg
"21,88","42,03","5,84","1,02","12,29",VLID3,"0,82","51,21","14,01","35,03","17,18","21,71","3,68","4,65","3,77","4,76","0,61","1,83","-1,25","21,39","3,74","0,74","17,51","14,06","10,40","-0,03","-0,09","-0,12","0,34","0,59","0,40","2,83","2,44",,1.790.579.000,1.746.367.000,1.750.538.000,81.836.000,2.949.027.000,1.516.904.000,598.000.000,-44.212.000,642.212.000,"100,00",Novo_Mercado,"95,08",Bens_Industriais,Serviços_Diversos,https://investidor10.com.br/storage/companies/66d9a9a2a2104.jpg
"8,98","-26,19","3,64","0,46","0,24",VTRU3,"0,55","0,88","15,15","64,27","21,19","31,17","4,49","6,61","1,77","2,60","0,20","2,36","-0,24","19,44","2,46","0,37","12,68","3,41","5,57","0,71","2,72","4,00","0,93","0,44","0,56","2,15",,,1.204.868.000,3.057.469.000,2.608.606.000,134.172.000,5.941.959.000,955.758.000,2.433.752.000,1.852.601.000,581.151.000,"100,00",Novo_Mercado,"0,00",Consumo_Cíclico,Serviços_Educacionais,https://investidor10.com.br/storage/companies/68262db63158f.png
"14,67","30,03","110,29","28,68","1,63",TFCO4,"15,73","152,12","14,26","57,23","20,07","23,41","67,68","78,92","67,21","78,37","16,74","38,35","-53,98","0,51","0,13","1,06","26,00","22,81","15,17","0,20","0,47","0,55","0,30","0,58","0,42","2,72","26,98","37,26",13.881.402.000,13.978.193.000,484.021.000,946.244.000,829.401.000,572.265.000,147.231.000,96.791.000,50.440.000,"0,00",Novo_Mercado,"5,66",Consumo_Cíclico,Vestuário,https://investidor10.com.br/storage/companies/68407b9ec8436.jpg
"20,37","-15,32","6,76","0,96","7,60",AGRO3,"1,54","51,61","22,84","39,38","29,46","35,25","7,71","9,22","4,38","5,24","0,53","4,52","-0,77","21,13","3,01","0,34","14,27","9,34","7,79","0,73","3,33","3,99","0,77","0,55","0,45","1,58","10,96","22,82",2.091.661.000,3.682.665.000,2.169.898.000,102.683.000,3.971.666.000,1.253.482.000,1.672.225.000,1.591.004.000,81.221.000,"100,00",Novo_Mercado,"62,15",Consumo_não_Cíclico,Agricultura,https://investidor10.com.br/storage/companies/68407927034e8.jpg
"24,16","-9,47","14,61","1,03","2,40",MDIA3,"0,84","35,10","5,76","33,15","7,23","11,12","7,59","11,68","7,57","11,65","0,64","2,27","-1,19","23,47","1,65","0,76","7,04","5,46","4,38","0,00","0,02","0,03","0,29","0,62","0,34","2,56","6,06","-6,01",8.190.240.000,8.210.692.000,7.956.184.000,339.000.000,12.808.810.000,5.918.383.000,2.308.510.000,20.452.000,2.288.058.000,"100,00",Novo_Mercado,"19,58",Consumo_não_Cíclico,Alimentos_Diversos,https://investidor10.com.br/storage/companies/66cc9cf9e5c39.jpg
"14,38","30,95","5,88","1,47","13,01",CMIG3,"1,01","76,79","17,25","19,80","23,79","27,26","3,96","4,54","3,72","4,26","0,64","47,40","-0,85","9,75","2,45","0,64","25,09","17,60","10,96","0,38","0,95","1,09","0,55","0,44","0,56","1,06","9,99","19,58",33.264.978.000,43.807.092.000,27.914.455.000,2.861.781.000,63.901.931.000,15.471.501.000,15.242.574.000,10.542.114.000,4.700.460.000,"80,00",Nível_1,"81,34",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/66cc977d99912.jpg
"6,26","36,87","6,41","0,78","4,70",TRIS3,"0,89","40,88","13,86","29,53","15,35","17,27","6,71","7,54","5,14","5,78","0,37","0,62","-2,34","8,04","0,98","0,42","12,16","7,02","5,99","0,24","1,57","1,76","0,59","0,48","0,51","3,57","8,41","0,34",1.168.225.000,1.523.987.000,1.500.216.000,186.617.000,3.117.847.000,2.618.507.000,878.402.000,355.762.000,522.640.000,"100,00",Novo_Mercado,"38,37",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/66db25b3c6d4f.jpg
"6,94","43,34","6,52","1,89","8,20",POMO3,"0,88","54,02","13,49","24,70","15,90","17,71","6,63","7,39","4,97","5,53","0,83","2,97","-2,09","3,67","1,06","0,94","28,97","14,89","12,84","0,32","0,85","0,95","0,79","0,44","0,55","1,87","20,08","68,13",9.171.311.000,10.528.195.000,4.175.411.000,1.136.271.000,9.494.733.000,5.717.711.000,3.311.553.000,1.356.884.000,1.954.669.000,"100,00",Nível_2,"76,12",Bens_Industriais,Material_Rodoviário,https://investidor10.com.br/storage/companies/66d9a9c3082e8.jpg
"4,39","-16,86","-0,28","2,46","0,00",AERI3,"0,23","0,00","-81,51","10,79","-63,54","-55,58","-2,64","-2,31","-0,41","-0,35","0,13","-30,97","-0,21","1,79","-15,89","0,58","-889,48","-46,90","-46,89","13,58","-2,24","-1,96","14,59","0,05","0,95","0,99","-11,32",,272.707.000,1.779.659.000,111.006.000,62.120.000,2.105.580.000,819.003.000,1.619.666.000,1.506.952.000,112.714.000,"100,00",Nível_1,"57,08",Bens_Industriais,Máquinas_e_Equipamentos_Industriais,https://investidor10.com.br/storage/companies/66db007cadfd5.jpg
"1,13","-35,06","-3,73","0,55","0,00",RNEW4,"1,40","0,00","-37,47","-10,99","13,16","48,52","10,08","37,18","2,88","10,63","0,13","-2,82","-0,15","2,04","-0,30","0,10","-14,86","1,82","-3,57","1,38","7,16","26,40","1,51","0,24","0,76","0,72","33,66",,426.764.000,1.471.489.000,758.413.000,372.183.000,3.160.866.000,375.943.000,1.145.868.000,1.044.725.000,101.143.000,"100,00",Nível_2,"23,70",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/5f5f67b362f5a.jpeg
"10,92",-,"-4,64","0,18","0,00",AMOB3,"0,04","0,00","-0,81","13,71","2,24","3,98","5,86","10,43","0,94","1,68","0,05","0,21","-0,11","59,72","-2,35","1,24","-3,94","3,44","-1,01","0,95","4,92","8,75","1,31","0,26","1,06","1,61",,,413.715.000,2.571.400.000,2.262.546.000,37.886.000,8.857.789.000,5.254.872.000,2.956.500.000,2.157.685.000,798.815.000,"100,00",Novo_Mercado,"0,00",Consumo_Cíclico,Automóveis_e_Motocicletas,https://investidor10.com.br/storage/companies/6760183b2094b.png
"8,17","-15,22","5,71","0,89","6,36",DEXP3,"0,44","36,83","7,72","17,59","11,84","13,45","3,15","3,58","3,28","3,72","0,55","1,25","-1,60","9,15","1,43","1,25","15,64","13,40","9,85","-0,04","-0,13","-0,15","0,24","0,62","0,38","3,06","15,28","2,14",893.933.000,858.265.000,999.766.000,109.310.000,1.623.970.000,1.064.596.000,242.362.000,-35.668.000,278.030.000,"100,00",Tradicional,"99,67",Materiais_Básicos,Petroquímicos,https://investidor10.com.br/storage/companies/66db26175abb1.jpg
"55,31","14,36","9,62","2,36","9,14",UNIP6,"1,11","84,83","11,55","27,93","13,55","19,43","6,37","9,13","5,72","8,20","0,86","3,95","-1,42","23,41","5,75","0,77","24,57","10,41","8,95","0,37","0,89","1,27","0,93","0,36","0,63","2,24","7,82","11,97",6.001.496.000,6.972.180.000,2.649.664.000,113.173.000,7.280.912.000,2.862.549.000,2.451.459.000,970.684.000,1.480.775.000,"0,00",Tradicional,"55,28",Materiais_Básicos,Químicos_Diversos,https://investidor10.com.br/storage/companies/649db9f7cbaed.jpg
"1,80","-32,08","-3,01","-2,96","0,00",RCSL3,"5,25","0,00","-174,27","5,26","-141,30","-129,81","-3,00","-2,76","-4,05","-3,72","1,23","-7,92","-1,83","-0,61","-0,60","0,23","-98,07","79,51","-43,63","0,00","0,00","0,00","0,00","-0,42","1,42","0,68","-17,49",,42.469.000,42.465.000,-19.381.000,31.822.000,46.651.000,15.417.000,-,-4.000,4.000,"0,00",Tradicional,"61,28",Bens_Industriais,Material_Rodoviário,https://investidor10.com.br/storage/companies/5f5b989c56fe8.jpeg
"1,58","-31,90","-0,07","-0,02","0,00",PMAM3,"0,25","0,00","-376,62","-31,37","-80,91","-63,93","-16,10","-12,72","-0,38","-0,30","0,08","-0,02","-0,10","-79,81","-24,24","0,33","-30,37","36,52","-122,93","-0,81","-15,72","-12,42","-0,82","-4,05","5,05","0,06","-34,51",,126.920.000,5.323.065.000,-6.411.198.000,80.329.000,1.584.101.000,368.087.000,5.232.439.000,5.196.145.000,36.294.000,"100,00",Novo_Mercado,"100,00",Materiais_Básicos,Artefatos_de_Cobre,https://investidor10.com.br/storage/companies/5ebb07f12fe5a.jpeg
"1,24","-12,68","-3,86","2,22","0,00",AMAR3,"0,44","0,00","-11,49","50,10","4,91","9,95","5,23","10,59","4,45","9,02","0,31","-1,71","-0,43","0,56","-0,32","0,70","-57,46","14,19","-8,08","0,39","0,78","1,58","0,42","0,14","0,86","0,60","-7,65",,636.685.000,748.049.000,287.288.000,513.456.000,2.044.038.000,570.564.000,120.600.000,111.364.000,9.236.000,"0,10",Novo_Mercado,"46,13",Consumo_Cíclico,"Tecidos,_Vestuário_e_Calçados",https://investidor10.com.br/storage/companies/5eb9c0d8b71f0.jpeg
"8,14","-52,32","10,27","0,69","0,45",DESK3,"0,81","9,96","7,93","69,74","31,24","50,73","3,57","5,80","1,61","2,61","0,26","5,64","-0,32","11,85","0,79","0,32","6,69","10,78","2,81","0,84","1,97","3,19","1,09","0,38","0,61","1,37",,,941.190.000,2.093.601.000,1.369.922.000,115.625.000,3.584.613.000,620.091.000,1.489.437.000,1.152.411.000,337.026.000,"100,00",Nível_1,"31,01",Telecomunicações,Telecomunicações,https://investidor10.com.br/storage/companies/684079174b307.jpg
"4,03","-32,25","8,96","0,31","3,16",ETER3,"0,21","55,59","2,36","19,90","1,87","6,83","4,48","16,35","3,09","11,29","0,19","1,14","-0,32","12,87","0,45","0,90","3,49","-0,80","2,13","0,14","1,39","5,06","0,17","0,61","0,39","1,72","11,52","-29,41",248.959.000,360.504.000,795.309.000,61.776.000,1.303.584.000,520.496.000,137.252.000,111.545.000,25.707.000,"100,00",Nível_1,"98,69",Bens_Industriais,Produtos_para_Construção,https://investidor10.com.br/storage/companies/66d9a9cbab8b3.jpg
"10,41","20,16","7,52","1,33","8,56",ITSA3,"13,95","70,89","185,53","28,63","207,75","222,59","6,48","6,95","6,27","6,72","1,03","19,03","-1,16","7,82","1,38","0,07","17,71","17,51","13,91","0,04","0,21","0,22","0,13","0,78","0,18","1,97","6,88","15,94",114.517.726.000,118.343.726.000,85.938.000.000,10.993.810.000,110.639.000.000,12.196.000.000,11.262.000.000,3.826.000.000,7.436.000.000,"80,00",Nível_1,"65,74",Financeiro,Holdings_Diversificadas,https://investidor10.com.br/storage/companies/66ad451089033.jpg
"12,50","-1,47","7,60","0,77","6,74",SANB3,"0,63","48,86","8,27","36,44","11,31","0,00",,"5,84",,"5,56","0,08","-0,12","-0,10","16,31","1,65","0,12","10,09","10,85","1,01",,,,,"0,10","0,95","0,24","19,14","-1,49",98.478.626.000,98.478.626.000,122.271.222.000,7.498.531.000,1.240.333.567.000,264.400.814.000,,,24.371.817.000,"100,00",Nível_1,"9,88",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66cc9b5c46f92.jpg
"2,43","-3,57","9,69","0,71","3,95",IGTI3,"2,55","66,23","26,33","63,86","53,76","68,83","10,10","12,94","3,71","4,74","0,38","2,83","-0,50","3,44","0,25","0,15","7,29","7,55","3,96","0,42","2,22","2,84","0,81","0,54","0,46","2,16","11,33","11,90",6.279.310.000,8.048.131.000,4.177.323.000,1.214.491.000,7.791.679.000,1.940.835.000,3.367.008.000,1.768.821.000,1.598.187.000,"0,00",Tradicional,"55,81",Financeiro,Exploração_de_Imóveis,https://investidor10.com.br/storage/companies/5f4d37d5906d8.jpeg
"1,38","-19,57","9,84","0,91","5,13",LPSB3,"1,00","51,94","10,21","80,88","21,98","31,40","1,99","2,85","3,20","4,57","0,49","4,51","-0,71","1,52","0,14","0,49","9,25","14,63","8,05","-0,34","-1,21","-1,72","0,00","0,54","0,45","1,56","3,98","20,55",203.625.000,126.851.000,223.685.000,147.554.000,412.961.000,126.365.000,-,-76.774.000,76.774.000,"100,00",Tradicional,"70,66",Financeiro,Intermediação_Imobiliária,https://investidor10.com.br/storage/companies/68408442f3877.jpg
"9,14","-13,34","5,16","1,30","9,06",CAMB3,"0,91","47,48","17,59","48,85","20,11","23,37","3,43","3,98","3,88","4,51","1,02","3,04","-2,02","7,01","1,77","1,12","25,25","23,40","19,72","-0,15","-0,45","-0,53","0,01","0,78","0,22","3,09","22,16","27,73",386.394.000,341.142.000,296.523.000,42.275.000,379.701.000,188.224.000,2.920.000,-45.252.000,48.172.000,"0,00",Tradicional,"49,84",Consumo_Cíclico,Calçados,https://investidor10.com.br/storage/companies/66db25260d2b2.jpg
"144,90","116,59","-107,66","18,40","0,00",AMBP3,"3,51","0,00","-3,26","19,34","17,75","28,64","15,44","24,91","12,27","19,80","1,41","4,88","-2,52","7,88","-1,35","0,40","-17,09","9,18","-0,79","4,75","3,17","5,11","8,50","0,08","0,86","2,88","57,90",,24.204.366.000,30.449.783.000,1.315.481.000,167.041.000,17.179.562.000,7.591.941.000,11.188.123.000,6.245.417.000,4.942.706.000,"100,00",Novo_Mercado,"33,34",Utilidade_Pública,Água_e_Saneamento,https://investidor10.com.br/storage/companies/66db00cbb368b.jpg
"11,04","2,18","6,77","1,56","8,20",TAEE4,"2,87","38,26","42,41","63,47","73,57","74,26","7,07","7,14","3,87","3,91","0,54","7,95","-0,64","7,06","1,63","0,19","23,08","15,54","8,01","1,30","3,20","3,23","1,40","0,35","0,65","1,85","2,20","-5,73",11.403.896.000,20.854.872.000,7.297.942.000,1.033.496.000,21.030.240.000,3.119.982.000,10.253.596.000,9.450.976.000,802.620.000,"100,00",Nível_2,"63,44",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/682343dd0d259.png
"13,79","-0,66","8,38","0,85","6,69",SANB4,"0,69","48,86","8,27","36,44","11,31","0,00",,"5,84",,"6,13","0,08","-0,13","-0,11","16,31","1,65","0,12","10,09","10,85","1,01",,,,,"0,10","0,95","0,24","19,14","-1,49",98.478.626.000,98.478.626.000,122.271.222.000,7.498.531.000,1.240.333.567.000,264.400.814.000,,,24.371.817.000,"100,00",Nível_1,"9,88",Financeiro,Bancos,https://investidor10.com.br/storage/companies/66cc9b5c46f92.jpg
"1,66","-19,81","-0,90","0,32","0,00",TCSA3,"0,28","0,00","-31,51","-8,15","-21,52","-19,95","-6,65","-6,17","-1,42","-1,32","0,10","3,79","-0,15","5,14","-1,84","0,34","-35,79","-10,77","-11,02","1,18","-5,23","-4,85","1,57","0,30","0,69","1,08","18,95",,122.207.000,570.705.000,378.640.000,73.619.000,1.255.109.000,451.633.000,593.099.000,448.498.000,144.601.000,"100,00",Novo_Mercado,"61,24",Consumo_Cíclico,Incorporações,https://investidor10.com.br/storage/companies/5ebec8cb695a7.jpeg
"11,03","3,28","6,77","1,56","8,21",TAEE3,"2,87","38,26","42,41","63,47","73,57","74,26","7,07","7,14","3,87","3,90","0,54","7,94","-0,64","7,06","1,63","0,19","23,08","15,54","8,01","1,30","3,20","3,23","1,40","0,35","0,65","1,85","2,20","-5,73",11.403.896.000,20.854.872.000,7.297.942.000,1.033.496.000,21.030.240.000,3.119.982.000,10.253.596.000,9.450.976.000,802.620.000,"100,00",Nível_2,"63,44",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/682343dd0d259.png
"4,48","18,23","7,52","2,46","17,95",WHRL4,"0,51","124,40","6,80","18,11","7,43","8,79","3,99","4,72","5,82","6,88","0,67","15,87","-2,15","1,82","0,60","1,31","32,67","20,63","8,92","-0,64","-1,52","-1,80","0,41","0,27","0,73","1,07","7,30","4,68",6.382.723.000,4.620.509.000,2.738.894.000,1.502.786.000,10.054.264.000,6.925.890.000,1.113.194.000,-1.762.214.000,2.875.408.000,"0,00",Tradicional,"100,00",Consumo_Cíclico,Eletrodomésticos,https://investidor10.com.br/storage/companies/66db26218df83.jpg
"2,95","-19,18","-40,99","1,85","0,00",ALPK3,"0,39","0,00","-0,95","33,20","13,58","24,84","3,73","6,83","1,57","2,88","0,26","-2,23","-0,31","1,59","-0,07","0,67","-4,51","15,60","0,13","2,55","2,16","3,96","3,04","0,14","0,85","0,58","20,36",,640.220.000,1.521.078.000,346.060.000,217.024.000,2.452.535.000,395.495.000,1.050.418.000,880.858.000,169.560.000,"100,00",Novo_Mercado,"40,85",Bens_Industriais,Serviços_Diversos,https://investidor10.com.br/storage/companies/6840796b69d43.jpg
"14,55","-6,95","4,90","0,66","12,73",BRAP3,,"66,13","0,00","0,00","0,00","0,00","4,82","4,82","5,17","5,17","0,65","9,70","-0,71","22,05","2,97","0,00","13,47","12,75","13,27","-0,08","-0,64","-0,64","0,00","0,99","0,01","5,83","-100,00","-4,47",6.043.541.000,5.331.730.000,8.667.966.000,393.096.000,8.794.484.000,711.811.000,-,-711.811.000,711.811.000,"80,00",Nível_1,"71,57",Financeiro,Holdings_Diversificadas,https://investidor10.com.br/storage/companies/66ad44c9a1fad.jpg
"12,98","8,59","3,08","0,87","4,86",EALT4,"0,50","13,22","16,13","29,10","20,74","41,65","1,69","3,39","1,19","2,40","0,45","4,91","-0,79","14,98","4,21","0,91","28,11","23,16","14,70","0,29","0,40","0,81","0,32","0,52","0,48","1,27","18,47","30,29",314.670.000,413.217.000,337.052.000,22.500.000,644.494.000,276.196.000,108.730.000,98.547.000,10.183.000,"0,00",Tradicional,"59,77",Bens_Industriais,Máquinas_e_Equipamentos_Industriais,https://investidor10.com.br/storage/companies/66db2513c0952.jpg
"1,36","-31,66","4,86","375,31","0,00",BOBR4,"0,23","0,00","4,73","41,02","13,83","15,60","2,36","2,66","1,47","1,66","0,38","-20,98","-0,83","0,00","0,28","1,67","7.721,40","49,19","7,90","277,35","1,09","1,23","400,27","0,00","1,00","0,97","5,97","12,75",304.751.000,566.574.000,944.000,260.509.000,921.921.000,497.143.000,377.859.000,261.823.000,116.036.000,"0,00",Tradicional,"100,00",Consumo_não_Cíclico,Produtos_de_Limpeza,https://investidor10.com.br/storage/companies/66db004685447.jpg
"17,04","20,11","6,56","0,59","4,23",EUCA4,"0,53","28,48","8,13","34,04","14,02","17,50","4,22","5,27","3,04","3,80","0,33","1,60","-0,54","28,64","2,60","0,61","9,07","9,55","4,96","0,22","1,13","1,41","0,40","0,55","0,45","2,06","10,50","10,79",1.601.988.000,2.186.842.000,2.652.996.000,92.619.000,4.854.633.000,1.916.220.000,1.051.569.000,584.854.000,466.715.000,"0,00",Nível_1,"56,01",Materiais_Básicos,Madeira,https://investidor10.com.br/storage/companies/5f15de1848720.jpeg
"3,30","61,76","8,16","4,25","0,00",FICT3,"5,09","0,00","62,35","93,46","3,17","6,06","92,77","177,30","83,97","160,48","3,04","9,97","-4,74","0,78","0,40","0,60","52,13","-47,53","39,44","-0,20","-3,92","-7,50","0,00","0,72","0,23","6,84","0,05","10,55",180.917.000,173.576.000,36.928.000,47.609.000,51.611.000,18.457.000,-,-7.341.000,7.341.000,"0,00",Tradicional,"11,43",Financeiro,Outros,https://investidor10.com.br/storage/companies/67d43733b66ea.png
"4,56","-36,75","11,87","0,26","0,00",DMVF3,"0,10","0,00","0,81","29,30","2,65","5,27","1,84","3,66","1,82","3,61","0,12","5,00","-0,18","17,83","0,38","1,27","2,15","6,45","1,03","0,00","0,02","0,05","0,04","0,48","0,52","1,08","19,14","176,62",230.748.000,233.771.000,902.299.000,50.602.000,1.893.442.000,620.355.000,34.022.000,3.023.000,30.999.000,"0,10",Novo_Mercado,"32,87",Saúde,Medicamentos_e_Outros_Produtos,https://investidor10.com.br/storage/companies/66db259a33ab3.jpg
"2,96","5,71","-0,15","-0,03","0,00",RPMG3,"0,03","0,00","-17,66","-13,74","-20,96","-20,42","-0,10","-0,10","-0,13","-0,13","0,02","-0,08","-0,43","-102,21","-19,82","0,84","-19,39","23,02","-14,77","0,01","0,03","0,03","0,00","-0,76","1,76","0,78","38,41",,200.367.000,157.515.000,-6.919.006.000,67.691.000,9.083.407.000,8.619.665.000,1.075.000,-42.852.000,43.927.000,"0,00",Tradicional,"33,27","Petróleo,_Gás_e_Biocombustíveis","Exploração,_Refino_e_Distribuição",https://investidor10.com.br/storage/companies/5f5f5231ab573.jpeg
"1,15","-35,39","-3,80","0,56","0,00",RNEW3,"1,42","0,00","-37,47","-10,99","13,16","48,52","10,08","37,18","2,93","10,82","0,14","-2,87","-0,15","2,04","-0,30","0,10","-14,86","1,82","-3,57","1,38","7,16","26,40","1,51","0,24","0,76","0,72","33,66",,426.764.000,1.471.489.000,758.413.000,372.183.000,3.160.866.000,375.943.000,1.145.868.000,1.044.725.000,101.143.000,"100,00",Nível_2,"23,70",Utilidade_Pública,Energia_Elétrica,https://investidor10.com.br/storage/companies/5f5f67b362f5a.jpeg
"9,00","-46,97","-0,77","-1,69","0,00",BRKM3,"0,09","0,00","-11,75","7,72","-1,19","5,03","10,86","-45,96","1,81","-7,64","0,08","0,87","-0,12","-5,31","-11,64","0,83","-219,00","-12,82","-10,51","-8,52","9,09","-38,46","-11,60","-0,04","1,04","1,32","6,16",,7.043.565.000,43.154.565.000,-4.236.000.000,797.207.000,95.422.000.000,34.101.000.000,49.140.000.000,36.111.000.000,13.029.000.000,"100,00",Nível_1,"34,97",Materiais_Básicos,Petroquímicos,https://investidor10.com.br/storage/companies/66cca010e7887.jpg
"14,60","-2,66","9,06","0,54","4,45",GGBR3,"0,43","39,71","4,73","12,41","8,66","13,69","4,32","6,83","3,13","4,95","0,34","1,36","-0,55","27,08","1,61","0,80","5,95","6,70","3,80","0,17","0,96","1,52","0,33","0,63","0,37","2,89","9,54","6,69",31.785.995.000,40.902.504.000,54.922.968.000,2.028.194.000,86.854.070.000,33.306.852.000,18.090.359.000,9.116.509.000,8.973.850.000,"100,00",Nível_1,"58,69",Materiais_Básicos,Siderurgia,https://investidor10.com.br/storage/companies/66cc914eb1231.jpg
"3,86","-21,22","14,75","0,67","0,00",REAG3,"3,22","0,00","21,86","83,42","-44,59","-36,29","4,38","3,57","-8,89","-7,23","0,63","0,68","-25,68","5,77","0,26","0,19","4,53","-9,87","4,25","-1,00","13,27","10,80","0,00","0,94","0,06","16,47","7,81",,196.303.000,-96.868.000,293.687.000,50.855.000,313.039.000,305.396.000,725.000,-293.172.000,293.897.000,"100,00",Novo_Mercado,"30,40",Bens_Industriais,Serviços_Diversos,https://investidor10.com.br/storage/companies/684083e9a36a4.jpg
"5,05","-50,05","-8,51","0,56","0,00",AALR3,"0,48","0,00","-5,65","27,98","10,49","18,24","5,03","8,75","2,63","4,58","0,21","-47,35","-0,28","9,09","-0,59","0,43","-6,53","6,97","-1,94","0,51","2,40","4,17","0,62","0,38","0,61","0,98","6,01",,597.378.000,1.140.662.000,1.074.975.000,118.292.000,2.859.006.000,734.367.000,665.554.000,543.284.000,122.270.000,"100,00",Novo_Mercado,"6,19",Saúde,"Serviços_Médicos,_Hospitalares,_Análises_e_Diagnósticos",https://investidor10.com.br/storage/companies/6453e731bf4f1.png
"1,09","-42,93","-6,49","0,70","0,00",PDTC3,"0,28","0,00","-4,27","33,58","2,77","10,40","8,27","31,02","2,66","10,00","0,13","0,32","-0,39","1,55","-0,17","0,45","-10,83","1,83","-1,94","1,48","5,60","21,02","2,59","0,18","0,82","2,40","13,06",,86.621.000,268.791.000,123.253.000,79.469.000,689.156.000,465.018.000,319.617.000,182.170.000,137.447.000,"0,00",Tradicional,"44,31",Financeiro,Serviços_Financeiros_Diversos,https://investidor10.com.br/storage/companies/5f7dd00ce3736.jpeg
"1,15","-32,75","-1,41","0,41","0,00",LUPA3,"0,47","0,00","-33,56","19,90","15,07","19,80","10,84","14,24","2,38","3,13","0,10","3,11","-0,14","2,77","-0,82","0,21","-29,49","2,37","-7,09","1,47","8,46","11,11","1,49","0,24","0,76","1,13","14,31",,50.273.000,228.730.000,121.242.000,43.716.000,503.978.000,144.657.000,180.813.000,178.457.000,2.356.000,"100,00",Novo_Mercado,"82,71","Petróleo,_Gás_e_Biocombustíveis",Equipamentos_e_Serviços,https://investidor10.com.br/storage/companies/5efce595ab513.jpeg
"6,03","-40,10","10,01","0,60","3,13",TASA3,"0,49","14,21","4,85","34,96","9,47","12,40","6,20","8,12","3,92","5,13","0,30","1,27","-0,71","10,01","0,60","0,62","6,01","6,87","3,01","0,42","2,75","3,60","0,59","0,50","0,50","1,70","-2,37","-21,97",673.793.000,1.209.675.000,1.268.179.000,126.634.000,2.537.349.000,1.463.280.000,746.276.000,535.882.000,210.394.000,"100,00",Nível_2,"59,85",Bens_Industriais,Armas_e_Munições,https://investidor10.com.br/storage/companies/5ebda9027574c.jpeg
"6,04","14,61","6,10","0,95","3,97",TECN3,"0,93","24,15","15,17","54,67","16,13","19,30","4,95","5,92","4,80","5,74","0,56","1,24","-1,69","6,37","0,99","0,61","15,53","9,81","9,25","0,03","0,15","0,18","0,25","0,60","0,40","3,20","11,32",,387.201.000,399.497.000,408.423.000,64.106.000,685.591.000,456.230.000,101.307.000,12.296.000,89.011.000,"100,00",Novo_Mercado,"38,44",Consumo_Cíclico,Acessórios,https://investidor10.com.br/storage/companies/66db25a39c04e.jpg
"7,93","12,03","6,75","0,47","16,29",ALLD3,"0,14","55,23","2,08","12,00","3,42","4,40","3,78","4,87","3,20","4,12","0,22","0,66","-0,74","17,03","1,17","1,54","6,90","7,69","3,22","0,09","0,59","0,75","0,30","0,47","0,53","1,86","2,33","-8,01",745.887.000,882.482.000,1.601.675.000,94.058.000,3.434.695.000,2.431.512.000,474.678.000,136.595.000,338.083.000,"100,00",Novo_Mercado,"29,32",Telecomunicações,Telecomunicações,https://investidor10.com.br/storage/companies/66ad458d3ce52.jpg
